# ex,ey
7.352455516751454923e-06,-7.145636175875935692e-06
7.287581207604532096e-06,-7.229518587670291652e-06
7.223594820082723800e-06,-7.312615948495970741e-06
7.160481183543510042e-06,-7.394936324039980136e-06
7.098225537238711524e-06,-7.476487709573431673e-06
7.036813513439099665e-06,-7.557278027675584653e-06
6.976231118893672090e-06,-7.637315126651778030e-06
6.916464718287329561e-06,-7.716606779173407205e-06
6.857501019807976661e-06,-7.795160681139945424e-06
6.799327059159310238e-06,-7.872984450513209609e-06
6.741930186793254620e-06,-7.950085626512448655e-06
6.685298054920352229e-06,-8.026471669003720777e-06
6.629418605186288005e-06,-8.102149957667226232e-06
6.574280057347614559e-06,-8.177127791914040600e-06
6.519870898613611132e-06,-8.251412390247736539e-06
6.466179873432231773e-06,-8.325010890264383789e-06
6.413195973387075810e-06,-8.397930348263971112e-06
6.360908429869915892e-06,-8.470177739750006651e-06
6.309306702756423135e-06,-8.541759958929917573e-06
6.258380475077096605e-06,-8.612683819020361398e-06
6.208119643691389911e-06,-8.682956052719070783e-06
6.158514312959439962e-06,-8.752583312010564498e-06
6.109554786970505802e-06,-8.821572168915547962e-06
6.061231563769808872e-06,-8.889929115490913247e-06
6.013535328919239475e-06,-8.957660564579139617e-06
5.966456950057263953e-06,-9.024772850030338134e-06
5.919987470237586535e-06,-9.091272227285118745e-06
5.874118104154391062e-06,-9.157164873874190647e-06
5.828840231703047436e-06,-9.222456890028984944e-06
5.784145394205353341e-06,-9.287154299320032891e-06
5.740025288858419117e-06,-9.351263049073299527e-06
5.696471765737065596e-06,-9.414789011202850944e-06
5.653476822242708977e-06,-9.477737982682699069e-06
5.611032599661669451e-06,-9.540115686407224516e-06
5.569131379834502127e-06,-9.601927771690776936e-06
5.527765580715104932e-06,-9.663179815072586720e-06
5.486927753595161050e-06,-9.723877321038409960e-06
5.446610578885291432e-06,-9.784025722686662263e-06
5.406806863894608739e-06,-9.843630382339041418e-06
5.367509539278003672e-06,-9.902696592373194662e-06
5.328711656260587404e-06,-9.961229576138652675e-06
5.290406382973955601e-06,-1.001923448837316322e-05
5.252587003012898492e-06,-1.007671641592433609e-05
5.215246912437798699e-06,-1.013368037891537732e-05
5.178379616110895256e-06,-1.019013133096713375e-05
5.141978727252194403e-06,-1.024607416028056051e-05
5.106037963109599787e-06,-1.030151369010856577e-05
5.070551144070734040e-06,-1.035645467972745593e-05
5.035512190776358921e-06,-1.041090182510306938e-05
5.000915122566063076e-06,-1.046485975952915481e-05
4.966754054480659875e-06,-1.051833305434901611e-05
4.933023196262986687e-06,-1.057132621981593523e-05
4.899716849804391927e-06,-1.062384370556501700e-05
4.866829408145534330e-06,-1.067588990166790097e-05
4.834355352256736182e-06,-1.072746913899358390e-05
4.802289250815938715e-06,-1.077858569012435375e-05
4.770625756878033030e-06,-1.082924376985539006e-05
4.739359608096904708e-06,-1.087944753619396465e-05
4.708485623838853940e-06,-1.092920109069250856e-05
4.677998703628283295e-06,-1.097850847936454599e-05
4.647893826481563906e-06,-1.102737369310102800e-05
4.618166048797611722e-06,-1.107580066872504432e-05
4.588810502803575275e-06,-1.112379328926937916e-05
4.559822395666657258e-06,-1.117135538469815614e-05
4.531197008161846895e-06,-1.121849073279501674e-05
4.502929692451473898e-06,-1.126520305938516486e-05
4.475015871863163852e-06,-1.131149603941783433e-05
4.447451039446548293e-06,-1.135737329702179998e-05
4.420230755863840955e-06,-1.140283840689315653e-05
4.393350649278815467e-06,-1.144789489407327387e-05
4.366806413913515428e-06,-1.149254623511453133e-05
4.340593808382919860e-06,-1.153679585833011778e-05
4.314708655139831706e-06,-1.158064714468221013e-05
4.289146839364654795e-06,-1.162410342805952901e-05
4.263904307744148525e-06,-1.166716799597122822e-05
4.238977066917115621e-06,-1.170984409018527295e-05
4.214361183918491349e-06,-1.175213490722804011e-05
4.190052783625830557e-06,-1.179404359885616316e-05
4.166048048537263071e-06,-1.183557327261164360e-05
4.142343217772292974e-06,-1.187672699246022923e-05
4.118934586516687091e-06,-1.191750777915223658e-05
4.095818503579984338e-06,-1.195791861097195152e-05
4.072991372949807953e-06,-1.199796242395967383e-05
4.050449651238352544e-06,-1.203764211268887330e-05
4.028189846350116454e-06,-1.207696053059925667e-05
4.006208518481102487e-06,-1.211592049044085684e-05
3.984502278120416463e-06,-1.215452476496792222e-05
3.963067785162088796e-06,-1.219277608727198370e-05
3.941901748460985289e-06,-1.223067715128145494e-05
3.921000925610762522e-06,-1.226823061209469934e-05
3.900362120390354903e-06,-1.230543908670167497e-05
3.879982184540331502e-06,-1.234230515431700148e-05
3.859858014876316190e-06,-1.237883135679629376e-05
3.839986554066143754e-06,-1.241502019894147324e-05
3.820364788631458453e-06,-1.245087414933343517e-05
3.800989749613847835e-06,-1.248639564027653748e-05
3.781858510687463593e-06,-1.252158706871453475e-05
3.762968188492088473e-06,-1.255645079617506710e-05
3.744315941411890947e-06,-1.259098914951906067e-05
3.725898968798269095e-06,-1.262520442124603903e-05
3.707714511302917515e-06,-1.265909886979943444e-05
3.689759848879425874e-06,-1.269267472009394382e-05
3.672032301338390425e-06,-1.272593416390410681e-05
3.654529227570257888e-06,-1.275887936011410595e-05
3.637248024324080120e-06,-1.279151243524512260e-05
3.620186125985469516e-06,-1.282383548376064830e-05
3.603341004576599005e-06,-1.285585056851057395e-05
3.586710168423934419e-06,-1.288755972100874558e-05
3.570291162380279104e-06,-1.291896494176603127e-05
3.554081566159439376e-06,-1.295006820076216592e-05
3.538078995113380643e-06,-1.298087143772330698e-05
3.522281099010982075e-06,-1.301137656262163489e-05
3.506685561593947398e-06,-1.304158545567535299e-05
3.491290100465782587e-06,-1.307149996807033254e-05
3.476092466092595146e-06,-1.310112192201562387e-05
3.461090441692071806e-06,-1.313045311127081227e-05
3.446281842345300106e-06,-1.315949530131255152e-05
3.431664515551879902e-06,-1.318825022988967532e-05
3.417236339453566529e-06,-1.321671960693993064e-05
3.402995223389382318e-06,-1.324490511525611147e-05
3.388939107118460470e-06,-1.327280841084688134e-05
3.375065960486978156e-06,-1.330043112282575102e-05
