# q1,q2,q3
8.423835240877257657e-01,-1.390939633289647093e+00,-1.708710168558589745e-02
8.419935524431184648e-01,-1.390936776734157831e+00,-1.609693569074599137e-02
8.416052696249377574e-01,-1.390926482914856432e+00,-1.504383159816666260e-02
8.412186322002189742e-01,-1.390907128354844202e+00,-1.393672456783616627e-02
8.408335259535900663e-01,-1.390877149009760005e+00,-1.278497148517976877e-02
8.404497907467352036e-01,-1.390835069684159819e+00,-1.159812380223619079e-02
8.400672396543261700e-01,-1.390779528722315250e+00,-1.038572307762104449e-02
8.396856735485351830e-01,-1.390709297932929411e+00,-9.157120736529605898e-03
8.393048920524474044e-01,-1.390623297842077832e+00,-7.921322700163067887e-03
8.389247015913635641e-01,-1.390520608475078967e+00,-6.686858840945218360e-03
8.385449211246084333e-01,-1.390400475949514547e+00,-5.461676673681282145e-03
8.381653860274806966e-01,-1.390262315221520106e+00,-4.253058267557474972e-03
8.377859505048160793e-01,-1.390105709368749443e+00,-3.067559038799592963e-03
8.374064888479760826e-01,-1.389930405818798675e+00,-1.910966842182782333e-03
8.370268957912880836e-01,-1.389736309943828241e+00,-7.882796079426213944e-04
8.366470861786802216e-01,-1.389523476442839467e+00,2.963003419354656113e-04
8.362669941140273844e-01,-1.389292098924532315e+00,1.339357226512806563e-03
8.358865717377906845e-01,-1.389042498087647459e+00,2.338239935985198838e-03
8.356170574891472747e-01,-1.388777402387389115e+00,3.289791784073287442e-03
8.354294113385445364e-01,-1.388495526562431692e+00,4.185760447466706224e-03
8.353022790047076596e-01,-1.388196494801169134e+00,5.013890819152780343e-03
8.352194366288042682e-01,-1.387879999482875881e+00,5.760525809054617419e-03
8.351685838397919781e-01,-1.387545927197432416e+00,6.412242230500697811e-03
8.351404244341958938e-01,-1.387194441912226406e+00,6.956981794246992062e-03
8.351279637934745370e-01,-1.386826031207450516e+00,7.384790560597683309e-03
8.351259712008578528e-01,-1.386441522948050675e+00,7.688255705558992917e-03
8.351305677631962743e-01,-1.386042078879065720e+00,7.862710103337916534e-03
8.351389101238558821e-01,-1.385629170779895780e+00,7.906260984431440902e-03
8.351489473239216421e-01,-1.385204544015576689e+00,7.819687794396890795e-03
8.351592335966673275e-01,-1.384770172588274839e+00,7.606245593695971918e-03
8.351687839918456868e-01,-1.384328209123279141e+00,7.271403331050954946e-03
8.351769628444785099e-01,-1.383880932620830562e+00,6.822540662872864439e-03
8.351833974707176811e-01,-1.383430696266349624e+00,6.268622361174442520e-03
8.351877507935776546e-01,-1.382979678813268887e+00,5.617025978593670824e-03
8.351904908990289700e-01,-1.382532546655839134e+00,4.887615998323545027e-03
8.351920503633908366e-01,-1.382090002198533174e+00,4.098872329444296428e-03
8.351927056333633415e-01,-1.381655553345899401e+00,3.266004974598328125e-03
8.351926774619825578e-01,-1.381229941369500169e+00,2.402940486721028609e-03
8.351921370476433903e-01,-1.380815655013852394e+00,1.521112951670118823e-03
8.351912189360575223e-01,-1.380414572018362263e+00,6.303914468020465353e-04
8.351900285688756975e-01,-1.380028062540953115e+00,-2.607641603716696378e-04
8.351885989471613536e-01,-1.379655198246843018e+00,-1.144548557594258966e-03
8.351870070400082557e-01,-1.379296978742313273e+00,-2.014997151180608972e-03
8.351853125216618379e-01,-1.378954057264493160e+00,-2.867146722927464524e-03
8.351835613791406265e-01,-1.378626803422819069e+00,-3.696924929536774245e-03
8.351817887821986197e-01,-1.378315356228478450e+00,-4.501049250126296433e-03
8.351800213656043193e-01,-1.378019668823947885e+00,-5.276934773034283772e-03
8.351782790432698000e-01,-1.377739546125310799e+00,-6.022610233729701681e-03
8.351765764494982758e-01,-1.377474676418374955e+00,-6.736641737858871035e-03
8.351749240832742061e-01,-1.377224657801869423e+00,-7.418063626873698697e-03
8.351733292161054312e-01,-1.376989020243873041e+00,-8.066315967929215194e-03
8.351717966116340985e-01,-1.376767243908264104e+00,-8.681188174490872544e-03
8.351703290954395342e-01,-1.376558774313921152e+00,-9.262768289080257345e-03
8.351689280056469045e-01,-1.376363034808534502e+00,-9.811397484576494729e-03
8.351675935487332669e-01,-1.376179436769366493e+00,-1.032762936527958572e-02
8.351662703620171824e-01,-1.376009093026356211e+00,-1.081274776492704634e-02
8.351649715061898460e-01,-1.375851056157702201e+00,-1.126753875848004148e-02
8.351637064847989844e-01,-1.375704445157219569e+00,-1.169291312890431873e-02
8.351624820194921694e-01,-1.375568440961279171e+00,-1.208988037470578973e-02
8.351613026648321281e-01,-1.375442282250931791e+00,-1.245952582661146238e-02
8.351601712954129786e-01,-1.375325261516162190e+00,-1.280299059009046281e-02
8.351590894913576424e-01,-1.375216721369202588e+00,-1.312145405029896059e-02
8.351580578429738111e-01,-1.375116051093960623e+00,-1.341611869504586059e-02
8.351570761911241148e-01,-1.375022683418845260e+00,-1.368819702949242850e-02
8.351561438164972762e-01,-1.374936091500582158e+00,-1.393890037350814341e-02
8.351553004015638271e-01,-1.374857660932716774e+00,-1.417003899686395188e-02
8.351545338273796970e-01,-1.374786543750848189e+00,-1.438269849867199364e-02
8.351538340826476503e-01,-1.374721988449595811e+00,-1.457794947114997124e-02
8.351531928569415619e-01,-1.374663328205848911e+00,-1.475684118591756924e-02
8.351526032152133405e-01,-1.374609970610543686e+00,-1.492039639791320482e-02
8.351520593371692947e-01,-1.374561388709945042e+00,-1.506960714085670353e-02
8.351515563084248583e-01,-1.374517113184117623e+00,-1.520543139916233875e-02
8.351510899530000254e-01,-1.374476725513365416e+00,-1.532879055145934706e-02
8.351506566988300406e-01,-1.374439852003380924e+00,-1.544056749043064454e-02
8.351502534696513269e-01,-1.374406158557110347e+00,-1.554160533256332064e-02
8.351498775979661060e-01,-1.374375346096273764e+00,-1.563270663964610313e-02
8.351495267548612045e-01,-1.374347146548392740e+00,-1.571463308147981811e-02
8.351491988933088528e-01,-1.374321319326354818e+00,-1.578810547631715258e-02
8.351488922022595185e-01,-1.374297648237211789e+00,-1.585380415204886914e-02
8.351486050693800456e-01,-1.374275938765276095e+00,-1.591236957713495007e-02
8.351483360507225839e-01,-1.374256015681825760e+00,-1.596440321577155888e-02
8.351480838459554024e-01,-1.374237720939998075e+00,-1.601046856681702032e-02
8.351478472780632378e-01,-1.374220911818886837e+00,-1.605109235060164091e-02
8.351476252766419917e-01,-1.374205459285559927e+00,-1.608676581194427163e-02
8.351474168640909967e-01,-1.374191246547793677e+00,-1.611794611152046752e-02
8.351472211441433036e-01,-1.374178167773853598e+00,-1.614505778119858584e-02
8.351470372922874530e-01,-1.374166126958713985e+00,-1.616849422210591553e-02
8.351468645477228003e-01,-1.374155036918766060e+00,-1.618861922703081560e-02
8.350381545878443612e-01,-1.374146246987367759e+00,-1.620582380111904724e-02
