# tau1,tau2,tau3
1.270633506563404502e+01,3.371572654511228340e+00,8.537526507017445532e-01
1.270528976435455171e+01,3.371709730109668346e+00,8.539796866763831318e-01
1.270424448327064226e+01,3.371847481197819185e+00,8.542065486631997828e-01
1.270319922272527080e+01,3.371985907815561845e+00,8.544332365667161033e-01
1.270215398306120846e+01,3.372125010002147594e+00,8.546597502915700417e-01
1.270110876462129568e+01,3.372264787796301899e+00,8.548860897426004968e-01
1.270006356774821477e+01,3.372405241236112960e+00,8.551122548247543920e-01
1.269901839278458766e+01,3.372546370359134293e+00,8.553382454431136539e-01
1.269797324007317663e+01,3.372688175202389171e+00,8.555640615029984630e-01
1.269692810995651833e+01,3.372830655802285360e+00,8.557897029097941699e-01
1.269588300277710324e+01,3.372973812194633325e+00,8.560151695690514373e-01
1.269483791887757818e+01,3.373117644414755478e+00,8.562404613865481906e-01
1.269379285860021689e+01,3.373262152497298771e+00,8.564655782680798968e-01
1.269274782228760046e+01,3.373407336476442087e+00,8.566905201197327901e-01
1.269170281028195291e+01,3.373553196385705277e+00,8.569152868476104246e-01
1.269065782292578248e+01,3.373699732258154782e+00,8.571398783580997938e-01
1.268961286056127413e+01,3.373846944126183356e+00,8.573642945576178676e-01
1.268856792353074603e+01,3.373994832021640189e+00,8.575885353528320820e-01
1.268752301217638845e+01,3.374143395975839788e+00,8.578126006504759316e-01
1.268647812684040588e+01,3.374292636019525560e+00,8.580364903574654312e-01
1.268543326786493530e+01,3.374442552182820521e+00,8.582602043808876813e-01
1.268438843559214391e+01,3.374593144495356078e+00,8.584837426279583461e-01
1.268334363036412604e+01,3.374744412986207198e+00,8.587071050060252064e-01
1.268229885252287126e+01,3.374896357683749404e+00,8.589302914226104591e-01
1.268125410241043127e+01,3.375048978615949213e+00,8.591533017853683063e-01
1.268020938036886314e+01,3.375202275810154084e+00,8.593761360021223705e-01
1.267916468674005692e+01,3.375356249293142596e+00,8.595987939807958611e-01
1.267812002186601461e+01,3.375510899091136441e+00,8.598212756295147141e-01
1.267707538608858009e+01,3.375666225229764450e+00,8.600435808565153328e-01
1.267603077974968784e+01,3.375822227734148306e+00,8.602657095702024304e-01
1.267498620319114977e+01,3.375978906628827936e+00,8.604876616790864130e-01
1.267394165675485596e+01,3.376136261937773497e+00,8.607094370918901838e-01
1.267289714078256679e+01,3.376294293684400483e+00,8.609310357174114747e-01
1.267185265561611729e+01,3.376453001891591477e+00,8.611524574646500785e-01
1.267080820159722343e+01,3.376612386581625547e+00,8.613737022427077061e-01
1.266976377906766693e+01,3.376772447776250186e+00,8.615947699608705879e-01
1.266871938836909273e+01,3.376933185496637346e+00,8.618156605285038907e-01
1.266767502984329141e+01,3.377094599763443838e+00,8.620363738552067057e-01
1.266663070383187240e+01,3.377256690596711852e+00,8.622569098506420726e-01
1.266558641067655522e+01,3.377419458016011067e+00,8.624772684246555521e-01
1.266454215071899192e+01,3.377582902040268120e+00,8.626974494872510224e-01
1.266349792430070664e+01,3.377747022687882961e+00,8.629174529484957556e-01
1.266245373176350242e+01,3.377911819976777696e+00,8.631372787187212570e-01
1.266140957344877194e+01,3.378077293924181213e+00,8.633569267082722432e-01
1.266036544969824007e+01,3.378243444546883634e+00,8.635763968277351266e-01
1.265932136085344872e+01,3.378410271861080449e+00,8.637956889877985711e-01
1.265827730725585809e+01,3.378577775882372514e+00,8.640148030992501615e-01
1.265723328924720725e+01,3.378745956625957447e+00,8.642337390731197333e-01
1.265618930716884272e+01,3.378914814106290798e+00,8.644524968204518878e-01
1.265514536136243251e+01,3.379084348337409338e+00,8.646710762525567917e-01
1.265410145216941373e+01,3.379254559332762309e+00,8.648894772807738107e-01
1.265305757993133717e+01,3.379425447105250946e+00,8.651076998166553622e-01
1.265201374498965947e+01,3.379597011667204498e+00,8.653257437718502310e-01
1.265096994768591543e+01,3.379769253030447729e+00,8.655436090581721809e-01
1.264992618836165228e+01,3.379942171206281376e+00,8.657612955875703120e-01
1.264888246735822719e+01,3.380115766205332495e+00,8.659788032720970863e-01
1.264783878501720160e+01,3.380290038037808475e+00,8.661961320239861539e-01
1.264679514168008545e+01,3.380464986713369147e+00,8.664132817555906252e-01
1.264575153768828208e+01,3.380640612241047283e+00,8.666302523793824042e-01
1.264470797338331920e+01,3.380816914629390713e+00,8.668470438080047025e-01
1.264366444910665521e+01,3.380993893886386825e+00,8.670636559542095334e-01
1.264262096519979828e+01,3.381171550019523409e+00,8.672800887308868001e-01
1.264157752200420681e+01,3.381349883035670967e+00,8.674963420510806156e-01
1.264053411986130016e+01,3.381528892941187525e+00,8.677124158279257982e-01
