# Fx,Fy
0.000000000000000000e+00,7.225710995240053336e-03
0.000000000000000000e+00,7.223212720529614828e-03
0.000000000000000000e+00,7.220743921620975669e-03
0.000000000000000000e+00,7.218304479112980232e-03
0.000000000000000000e+00,7.215894275902634547e-03
0.000000000000000000e+00,7.213513197171783631e-03
0.000000000000000000e+00,7.211161130293852750e-03
0.000000000000000000e+00,7.208837964893799466e-03
0.000000000000000000e+00,7.206543592771508244e-03
0.000000000000000000e+00,7.204277907875145104e-03
0.000000000000000000e+00,7.202040806287834940e-03
0.000000000000000000e+00,7.199832186197685502e-03
0.000000000000000000e+00,7.197651947887795387e-03
0.000000000000000000e+00,7.195499993692955343e-03
0.000000000000000000e+00,7.193376227966341574e-03
0.000000000000000000e+00,7.191280557096169090e-03
0.000000000000000000e+00,7.189212889442408994e-03
0.000000000000000000e+00,7.187173135313473793e-03
0.000000000000000000e+00,7.185161206966217406e-03
0.000000000000000000e+00,7.183177018562636462e-03
0.000000000000000000e+00,7.181220486159878291e-03
0.000000000000000000e+00,7.179291527676934237e-03
0.000000000000000000e+00,7.177390062867994303e-03
0.000000000000000000e+00,7.175516013319116482e-03
0.000000000000000000e+00,7.173669302391605385e-03
0.000000000000000000e+00,7.171849855238665583e-03
0.000000000000000000e+00,7.170057598752110906e-03
0.000000000000000000e+00,7.168292461542380423e-03
0.000000000000000000e+00,7.166554373948530454e-03
0.000000000000000000e+00,7.164843267974951857e-03
0.000000000000000000e+00,7.163159077284708687e-03
0.000000000000000000e+00,7.161501737182884852e-03
0.000000000000000000e+00,7.159871184583277426e-03
0.000000000000000000e+00,7.158267358008396641e-03
0.000000000000000000e+00,7.156690197546167198e-03
0.000000000000000000e+00,7.155139644823282907e-03
0.000000000000000000e+00,7.153615643028521376e-03
0.000000000000000000e+00,7.152118136806162596e-03
0.000000000000000000e+00,7.150647072332594334e-03
0.000000000000000000e+00,7.149202397236376072e-03
0.000000000000000000e+00,7.147784060571593656e-03
0.000000000000000000e+00,7.146392012844504649e-03
0.000000000000000000e+00,7.145026205943594277e-03
0.000000000000000000e+00,7.143686593142906105e-03
0.000000000000000000e+00,7.142373129085388683e-03
0.000000000000000000e+00,7.141085769749588863e-03
0.000000000000000000e+00,7.139824472419675772e-03
0.000000000000000000e+00,7.138589195695432821e-03
0.000000000000000000e+00,7.137379899448959009e-03
0.000000000000000000e+00,7.136196544814676912e-03
0.000000000000000000e+00,7.135039094166018003e-03
0.000000000000000000e+00,7.133907511068793283e-03
0.000000000000000000e+00,7.132801760324491980e-03
0.000000000000000000e+00,7.131721807883684150e-03
0.000000000000000000e+00,7.130667620879327373e-03
0.000000000000000000e+00,7.129639167550161361e-03
0.000000000000000000e+00,7.128636417270683978e-03
0.000000000000000000e+00,7.127659340521175224e-03
0.000000000000000000e+00,7.126707908834406524e-03
0.000000000000000000e+00,7.125782094832278091e-03
0.000000000000000000e+00,7.124881872149213535e-03
0.000000000000000000e+00,7.124007215438821206e-03
0.000000000000000000e+00,7.123158100373894186e-03
0.000000000000000000e+00,7.122334503593119592e-03
0.000000000000000000e+00,7.121536402694417234e-03
0.000000000000000000e+00,7.120763776214955598e-03
0.000000000000000000e+00,7.120016603621159845e-03
0.000000000000000000e+00,7.119294865275405115e-03
0.000000000000000000e+00,7.118598542426024522e-03
0.000000000000000000e+00,7.117927617164010456e-03
0.000000000000000000e+00,7.117282072469643950e-03
0.000000000000000000e+00,7.116661892095921260e-03
0.000000000000000000e+00,7.116067060631836583e-03
0.000000000000000000e+00,7.115497563445760676e-03
0.000000000000000000e+00,7.114953386665456847e-03
0.000000000000000000e+00,7.114434517181411621e-03
0.000000000000000000e+00,7.113940942600205375e-03
0.000000000000000000e+00,7.113472651231189658e-03
0.000000000000000000e+00,1.452938070101050805e-02
3.026061276650763091e-02,2.347679290684356879e-02
4.549772892656582524e-02,3.223281330560712199e-02
7.003963117751371703e-02,4.077907485908749408e-02
8.790459416118841240e-02,4.908914540706743601e-02
1.099357639380994234e-01,5.717858646504980769e-02
1.288904238006159386e-01,6.505389403727912523e-02
1.496760530834223279e-01,7.273709500922431737e-02
1.690158339876847715e-01,8.024350127362911422e-02
1.891291858332090348e-01,8.759360624784662264e-02
2.085362773060487895e-01,9.480337959149820470e-02
2.282403108892727683e-01,1.018899821661523042e-01
2.475743986329556057e-01,1.088675529767324512e-01
2.669919342505132631e-01,1.157499602217448853e-01
2.861931818509894088e-01,1.225490003754570179e-01
3.053831628248898644e-01,1.292757393019838830e-01
3.244276462178321552e-01,1.359397689334473913e-01
3.434195011809937914e-01,1.425498784208745207e-01
3.622989326349331241e-01,1.491137705718836859e-01
3.811081631015363347e-01,1.556384124710274985e-01
3.998207742742720949e-01,1.621299477603510564e-01
