# x,y
6.623329557053690975e-01,4.415500017160289836e-05
6.623329551560532824e-01,4.415550830373649038e-05
6.623329546088078112e-01,4.415601491847276350e-05
6.623329540635056745e-01,4.415652015969662170e-05
6.623329535200288554e-01,4.415702416077360581e-05
6.623329529782676639e-01,4.415752704642339488e-05
6.623329524381200706e-01,4.415802893208142788e-05
6.623329518994913734e-01,4.415852992553648271e-05
6.623329513622935316e-01,4.415903012684740947e-05
6.623329508264446108e-01,4.415952962907865320e-05
6.623329502918686718e-01,4.416002851881373203e-05
6.623329497584948822e-01,4.416052687662708198e-05
6.623329492262574059e-01,4.416102477741712384e-05
6.623329486950950695e-01,4.416152229065606338e-05
6.623329481649509187e-01,4.416201948118092524e-05
6.623329476357721068e-01,4.416251640911028620e-05
6.623329471075093400e-01,4.416301313038550891e-05
6.623329465801166549e-01,4.416350969692339756e-05
6.623329460535514190e-01,4.416400615706028709e-05
6.623329455277737754e-01,4.416450255553816540e-05
6.623329450027469756e-01,4.416499893417080713e-05
6.623329444784364917e-01,4.416549533148295126e-05
6.623329439548100162e-01,4.416599178351521271e-05
6.623329434318376840e-01,4.416648832368530453e-05
6.623329429094915177e-01,4.416698498291293795e-05
6.623329423877457600e-01,4.416748178996676710e-05
6.623329418665759860e-01,4.416797877142275564e-05
6.623329413459594361e-01,4.416847595208051036e-05
6.623329408258750162e-01,4.416897335488001453e-05
6.623329403063029641e-01,4.416947100099877233e-05
6.623329397872248503e-01,4.416996891026814254e-05
6.623329392686234662e-01,4.417046710079863825e-05
6.623329387504826027e-01,4.417096558954891616e-05
6.623329382327869386e-01,4.417146439211760978e-05
6.623329377155227071e-01,4.417196352313190744e-05
6.623329371986764746e-01,4.417246299583121871e-05
6.623329366822358066e-01,4.417296282266391927e-05
6.623329361661890458e-01,4.417346301496816174e-05
6.623329356505253118e-01,4.417396358338820939e-05
6.623329351352342798e-01,4.417446453759688030e-05
6.623329346203061796e-01,4.417496588661473655e-05
6.623329341057320185e-01,4.417546763862967296e-05
6.623329335915033589e-01,4.417596980121896166e-05
6.623329330776118740e-01,4.417647238155741896e-05
6.623329325640501253e-01,4.417697538600107166e-05
6.623329320508107854e-01,4.417747882029532391e-05
6.623329315378869708e-01,4.417798269006067979e-05
6.623329310252724644e-01,4.417848700002946494e-05
6.623329305129609379e-01,4.417899175482298268e-05
6.623329300009468401e-01,4.417949695850742486e-05
6.623329294892243979e-01,4.418000261494081649e-05
6.623329289777885043e-01,4.418050872741219326e-05
6.623329284666339412e-01,4.418101529898854629e-05
6.623329279557563787e-01,4.418152233250094429e-05
6.623329274451510429e-01,4.418202983033636677e-05
6.623329269348133819e-01,4.418253779481240429e-05
6.623329264247395098e-01,4.418304622806623616e-05
6.623329259149254300e-01,4.418355513174931914e-05
6.623329254053669235e-01,4.418406450729106538e-05
6.623329248960607707e-01,4.418457435634293162e-05
6.623329243870031968e-01,4.418508468001514089e-05
6.623329238781908712e-01,4.418559547925138276e-05
6.623329233696202412e-01,4.418610675493983564e-05
6.623329228612881980e-01,4.418661850784377787e-05
6.623329223531917442e-01,4.418713073861546548e-05
6.623329218453278822e-01,4.418764344765735430e-05
6.623329213376933922e-01,4.418815663535802241e-05
6.623329208302857207e-01,4.418867030200890333e-05
6.623329203231018703e-01,4.418918444772101939e-05
6.623329198161391762e-01,4.418969907252212614e-05
6.623329193093949741e-01,4.419021417639834581e-05
6.623329188028668213e-01,4.419072975918314494e-05
6.623329182965519424e-01,4.419124582079325680e-05
6.623329177904480058e-01,4.419176236095112564e-05
6.623329172845525692e-01,4.419227937936531792e-05
6.623329167788629679e-01,4.419279687559174441e-05
6.623329162733772035e-01,4.419331484917243813e-05
6.623329157680926116e-01,4.419383329973269880e-05
6.623329152630069716e-01,4.419435222656475926e-05
6.623329147581179521e-01,4.419487162922453027e-05
6.623329142534233327e-01,4.419539150710138919e-05
6.623329137489210039e-01,4.419591185941817990e-05
6.623329132446086343e-01,4.419643268568917982e-05
6.623329127404840033e-01,4.419695398494294380e-05
6.623329122365448907e-01,4.419747575661048256e-05
6.623329117327894089e-01,4.419799799985912880e-05
6.623329112292151155e-01,4.419852071380070413e-05
6.623329107258200121e-01,4.419904389765805242e-05
6.623329102226019893e-01,4.419956755064013976e-05
6.623329097195589377e-01,4.420009167187266552e-05
6.623329092166886367e-01,4.420061626025928447e-05
6.623329087139891991e-01,4.420114131510610722e-05
6.623329082114585153e-01,4.420166683548332198e-05
6.623329077090943651e-01,4.420219282029458352e-05
6.623329072068947498e-01,4.420271926872110235e-05
6.623329067048576713e-01,4.420324617977755555e-05
6.623329062029811309e-01,4.420377355247862017e-05
6.623329057012627974e-01,4.420430138574182877e-05
6.623329051997008943e-01,4.420482967862349177e-05
6.623329046982932011e-01,4.420535843020767519e-05
6.623329041970377196e-01,4.420588763935640042e-05
6.623329036959324512e-01,4.420641730512597789e-05
6.623329031949752865e-01,4.420694742640618458e-05
6.623329026941642272e-01,4.420747800218394197e-05
6.623329021934971639e-01,4.420800903150168271e-05
6.623329016929722091e-01,4.420854051329081713e-05
6.623329011925871423e-01,4.420907244642724443e-05
