# tau1,tau2,tau3
1.237195693184876788e+01,4.209558888427567425e+00,9.800469471813690880e-01
1.237106588517581152e+01,4.210590080149834158e+00,9.800114859837386616e-01
1.237017656204686844e+01,4.211622202687063776e+00,9.799753558156891753e-01
1.236928896842142933e+01,4.212655254925684822e+00,9.799385556477795411e-01
1.236840311026025319e+01,4.213689235723579785e+00,9.799010844423790001e-01
1.236751899352636030e+01,4.214724143911568355e+00,9.798629411538033462e-01
1.236663662418731846e+01,4.215759978295255728e+00,9.798241247287871047e-01
1.236575600821574028e+01,4.216796737655996274e+00,9.797846341065223896e-01
1.236487715159156586e+01,4.217834420752814673e+00,9.797444682191411847e-01
1.236400006030246779e+01,4.218873026322959241e+00,9.797036259917357714e-01
1.236312474034534681e+01,4.219912553083392304e+00,9.796621063426554921e-01
1.236225119772737635e+01,4.220952999731705013e+00,9.796199081837173583e-01
1.236137943846683562e+01,4.221994364946946909e+00,9.795770304203115231e-01
1.236050946859412747e+01,4.223036647390468801e+00,9.795334719516405331e-01
1.235964129415265234e+01,4.224079845706842917e+00,9.794892316708461166e-01
1.235877492119941046e+01,4.225123958524291901e+00,9.794443084650954479e-01
1.235791035580598596e+01,4.226168984455568989e+00,9.793987012158257288e-01
1.235704760405907976e+01,4.227214922098418093e+00,9.793524087987762750e-01
1.235618667206112065e+01,4.228261770036053413e+00,9.793054300841026460e-01
1.235532756593097581e+01,4.229309526837739419e+00,9.792577639365414033e-01
1.235447029180457967e+01,4.230358191059248263e+00,9.792094092154808305e-01
1.235361485583515773e+01,4.231407761243076493e+00,9.791603647749876904e-01
1.235276126419413245e+01,4.232458235919014378e+00,9.791106294640133934e-01
1.235190952307112333e+01,4.233509613604302224e+00,9.790602021263230537e-01
1.235105963867497181e+01,4.234561892804123318e+00,9.790090816007399610e-01
1.235021161723355654e+01,4.235615072011580828e+00,9.789572667210256762e-01
1.234936546499451282e+01,4.236669149708180093e+00,9.789047563160699905e-01
1.234852118822568734e+01,4.237724124364027567e+00,9.788515492099247872e-01
1.234767879321505646e+01,4.238779994437781085e+00,9.787976442217747319e-01
1.234683828627164281e+01,4.239836758377152570e+00,9.787430401661189050e-01
1.234599967372532880e+01,4.240894414618849417e+00,9.786877358526946402e-01
1.234516296192732909e+01,4.241952961588686399e+00,9.786317300865723379e-01
1.234432815725066490e+01,4.243012397701927618e+00,9.785750216682091995e-01
1.234349526609003433e+01,4.244072721363044920e+00,9.785176093934108144e-01
1.234266429486235950e+01,4.245133930966090929e+00,9.784594920534308571e-01
1.234183525000709558e+01,4.246196024894762999e+00,9.784006684350182725e-01
1.234100813798609053e+01,4.247259001522212252e+00,9.783411373203346750e-01
1.234018296528417835e+01,4.248322859211358882e+00,9.782808974870828012e-01
1.233935973840924838e+01,4.249387596314853965e+00,9.782199477084917438e-01
1.233853846389234299e+01,4.250453211175006629e+00,9.781582867533106240e-01
1.233771914828814253e+01,4.251519702124042510e+00,9.780959133858876386e-01
1.233690179817476462e+01,4.252587067483803551e+00,9.780328263661063337e-01
