# tau1,tau2,tau3
1.128362108464498803e+01,4.561605246130119973e+00,8.382662460177804364e-01
1.128364967575368283e+01,4.561630409601218794e+00,8.382584197941185256e-01
1.128367767428391311e+01,4.561655093826257001e+00,8.382518545328266901e-01
1.128370511721166913e+01,4.561679327085512270e+00,8.382464476318244317e-01
1.128373202908056783e+01,4.561703126850092715e+00,8.382421003704109141e-01
1.128375842433703191e+01,4.561726501866606220e+00,8.382387182485939725e-01
1.128378430936867893e+01,4.561749453973711788e+00,8.382362112364278861e-01
1.128380968427332220e+01,4.561771979675545374e+00,8.382344939446746412e-01
1.128383454438434086e+01,4.561794071495580027e+00,8.382334857271194206e-01
1.128385888157666450e+01,4.561815719132985336e+00,8.382331107239435752e-01
1.128388268537616845e+01,4.561836910442216286e+00,8.382332978547003544e-01
1.128390594389343526e+01,4.561857632254881167e+00,8.382339807685776911e-01
1.128392864460149880e+01,4.561877871061689405e+00,8.382350977588897134e-01
1.128395077497544463e+01,4.561897613570704557e+00,8.382365916479852519e-01
1.128397232301046493e+01,4.561916847156866517e+00,8.382384096481210189e-01
1.128399327763334092e+01,4.561935560216408447e+00,8.382405032031958747e-01
1.128401362902109817e+01,4.561953742438502601e+00,8.382428278156864865e-01
1.128403336883926400e+01,4.561971385005402446e+00,8.382453428625983305e-01
1.128405249041090030e+01,4.561988480731134388e+00,8.382480114037579311e-01
1.128407098882659021e+01,4.562005024147889110e+00,8.382507999853450187e-01
1.128408886100435460e+01,4.562021011548174521e+00,8.382536784411570574e-01
1.128410610570753470e+01,4.562036440989995612e+00,8.382566196937366598e-01
1.128412272352792911e+01,4.562051312271528936e+00,8.382595995571853198e-01
1.128413871684039549e+01,4.562065626880883684e+00,8.382625965431687032e-01
1.128415408973456913e+01,4.562079387926040397e+00,8.382655916713882549e-01
1.128416884792857822e+01,4.562092600049253655e+00,8.382685682855364195e-01
1.128418299866905627e+01,4.562105269329791213e+00,8.382715118755653672e-01
1.128419655062109150e+01,4.562117403178247876e+00,8.382744099069081578e-01
1.128420951375130521e+01,4.562129010225279835e+00,8.382772516571287413e-01
1.128422189920685881e+01,4.562140100207190407e+00,8.382800280603546206e-01
1.128423371919253881e+01,4.562150683850345168e+00,8.382827315596950157e-01
1.128424498684804611e+01,4.562160772756200799e+00,8.382853559677793109e-01
1.128425571612694789e+01,4.562170379288311040e+00,8.382878963354302160e-01
1.128426592167867426e+01,4.562179516462451012e+00,8.382903488284211280e-01
1.128427561873460050e+01,4.562188197840826298e+00,8.382927106122123329e-01
1.128428482299906932e+01,4.562196437431043528e+00,8.382949797444895212e-01
1.128429355054599803e+01,4.562204249590425142e+00,8.382971550752998935e-01
1.128430181772142227e+01,4.562211648936001396e+00,8.382992361545290594e-01
1.128430964105248613e+01,4.562218650260505548e+00,8.383012231464598285e-01
1.128431703716296219e+01,4.562225268454499272e+00,8.383031167511069137e-01
1.128432402269528723e+01,4.562231518434638922e+00,8.383049181320127996e-01
1.128433061423938710e+01,4.562237415078134184e+00,8.383066288502046826e-01
1.128433682826785045e+01,4.562242973163232129e+00,8.383082508039598757e-01
1.128434268107764460e+01,4.562248207315626303e+00,8.383097861740700374e-01
1.128434818873793155e+01,4.562253131960578578e+00,8.383112373742712675e-01
1.128435336704386316e+01,4.562257761280521962e+00,8.383126070065110014e-01
1.128435823147612105e+01,4.562262109177927627e+00,8.383138978207492764e-01
1.128436279716575186e+01,4.562266189243094239e+00,8.383151126789634144e-01
1.057976074478365369e+01,4.293943937641048869e+00,7.768135220199878788e-01
1.076489141629422974e+01,4.363910961533951749e+00,7.928627124738975018e-01
1.088399032285428092e+01,4.409712489212062714e+00,8.034220148230443170e-01
1.099640487629619479e+01,4.453988706511216478e+00,8.148112498933506309e-01
1.108647270973357024e+01,4.490448499355946588e+00,8.247396988816104724e-01
1.115691665406423638e+01,4.519258847624809228e+00,8.328376214764177110e-01
1.121201902608738976e+01,4.541936897225080649e+00,8.393849338151764261e-01
1.125507931922648197e+01,4.559667994050669471e+00,8.446130695240894326e-01
1.128864909109832659e+01,4.573384198928907018e+00,8.487161198182578969e-01
1.131471011611605171e+01,4.583823892529633959e+00,8.518590757937576363e-01
1.133480944155414960e+01,4.591576989114891205e+00,8.541839176276873058e-01
1.135016174222852925e+01,4.597119207054459089e+00,8.558141107282979387e-01
1.136172687500542722e+01,4.600838025955797939e+00,8.568579293201863400e-01
1.137026863753771089e+01,4.603052335650603233e+00,8.574109221524586211e-01
1.137639929265991512e+01,4.604027305046440866e+00,8.575577547395870637e-01
1.138061332202967790e+01,4.603985634165381313e+00,8.573736017298271284e-01
1.138331303734268296e+01,4.603116074105663813e+00,8.569252170963604920e-01
1.138482804207596821e+01,4.601579887005360803e+00,8.562717753876040172e-01
1.138543005355680293e+01,4.599515755923380134e+00,8.554655515720059888e-01
1.138534422793416567e+01,4.597043531042176667e+00,8.545524879836375876e-01
1.138475785171850063e+01,4.594267104641808430e+00,8.535726828940654043e-01
1.138382705189357580e+01,4.591276635906396564e+00,8.525608250421703449e-01
1.138268201613507280e+01,4.588150292430846378e+00,8.515465910725148468e-01
1.138143109313912760e+01,4.584955634177558359e+00,8.505550175183806960e-01
1.138016405113129892e+01,4.581750734435763306e+00,8.496068551528284107e-01
1.137895470315709190e+01,4.578585108651558322e+00,8.487189107980707137e-01
1.137786305532194042e+01,4.575500503994221368e+00,8.479043797202229227e-01
1.137693709461098379e+01,4.572531588815294867e+00,8.471731703196436758e-01
1.137621430313517301e+01,4.569706570695957204e+00,8.465322217986376296e-01
1.137572296322988308e+01,4.567047763779010339e+00,8.459858147398252592e-01
1.137548330097105165e+01,4.564572119957387208e+00,8.455358739862326445e-01
1.137550850300591065e+01,4.562291733803735205e+00,8.451822628302477769e-01
1.137580563209049700e+01,4.560214327548989033e+00,8.449230672608641912e-01
1.137637645961342869e+01,4.558343719710094000e+00,8.447548688669662686e-01
1.137721822808467920e+01,4.556680278945855811e+00,8.446730049335013923e-01
1.209043678913799980e+01,4.823219519833497060e+00,9.067887175657846077e-01
1.190464038419263915e+01,4.751454221107469955e+00,8.899026651603126892e-01
1.176347578039388786e+01,4.694821295393347249e+00,8.761210446776123151e-01
1.165408591495247848e+01,4.650101711794023096e+00,8.649237647462139078e-01
1.156936982267490421e+01,4.614827768600087587e+00,8.558800343339829642e-01
1.150388866618443728e+01,4.587089084746210688e+00,8.486435560642814346e-01
1.145346074430700334e+01,4.565399836978379255e+00,8.429323182088013233e-01
1.141486099357150330e+01,4.548597993366568559e+00,8.385134161951508514e-01
1.138559271719230814e+01,4.535768564660784818e+00,8.351916709225989388e-01
1.136371424276641662e+01,4.526185234626353804e+00,8.328011473389667074e-01
1.134770736334164454e+01,4.519266048128742774e+00,8.311988764928796014e-01
1.133637755645078116e+01,4.514539843424448584e+00,8.302602410919492915e-01
1.132877836279278760e+01,4.511620886343344239e+00,8.298756070369638360e-01
1.132415412162272439e+01,4.510189754448419741e+00,8.299478787519091183e-01
1.132189664114213912e+01,4.509978971645686840e+00,8.303907304007578372e-01
1.132197230378248598e+01,4.511059640606326582e+00,8.312484070480939957e-01
1.132463228627772800e+01,4.512939481184251811e+00,8.329218124682765678e-01
1.133589790335076586e+01,4.521972105997441815e+00,8.361098086769457316e-01
1.133792281767882315e+01,4.523605820458936222e+00,8.373043487240277027e-01
1.134542678518011627e+01,4.529902749787253491e+00,8.394586684009932576e-01
1.134736367880307206e+01,4.531574784941417633e+00,8.403359589583395683e-01
1.134971605853886523e+01,4.533625947566849668e+00,8.411712104117825550e-01
1.135234510996034452e+01,4.535930578987204420e+00,8.419518722982310965e-01
1.135513986612291326e+01,4.538388206066533037e+00,8.426696427217370555e-01
1.135801256330999998e+01,4.540919345028004095e+00,8.433196167541009425e-01
1.136089469857559386e+01,4.543461937796999806e+00,8.438995746322118796e-01
1.136373368888398616e+01,4.545968331161702736e+00,8.444093890982707906e-01
1.136649004560651477e+01,4.548402721288813844e+00,8.448505341075117636e-01
1.136913499011595796e+01,4.550738996745939957e+00,8.452256796164918651e-01
1.137164844652718010e+01,4.552958922378198103e+00,8.455383593159854216e-01
1.137401735651678258e+01,4.555050614350797389e+00,8.457927000310850874e-01
1.137623426882118594e+01,4.557007263564286426e+00,8.459932031166687016e-01
1.137829616263440258e+01,4.558826070615695336e+00,8.461445695630382957e-01
1.138020346984832543e+01,4.560507360639829422e+00,8.462515617235509824e-01
1.138195926602300290e+01,4.562053850827203938e+00,8.463188956090464954e-01
1.138356860424682360e+01,4.563470047271377616e+00,8.463511585847686147e-01
1.138503796973724391e+01,4.564761751128975753e+00,8.463527480733582520e-01
1.138637483621897317e+01,4.565935656950879107e+00,8.463278275288623753e-01
1.138758730786558182e+01,4.566999028523239801e+00,8.462802965158261470e-01
1.138280378438087403e+01,4.563773204631300651e+00,8.452032575322595553e-01
1.138511055699437513e+01,4.565538036942525579e+00,8.453360771661728723e-01
1.138707678785750588e+01,4.567055741239382627e+00,8.454186926482726294e-01
1.138875277738674718e+01,4.568359922634649628e+00,8.454599368029007689e-01
1.139018121008211004e+01,4.569479660622435269e+00,8.454673766865805629e-01
1.139139838726748444e+01,4.570440150366815502e+00,8.454474876033227781e-01
1.139243524335204860e+01,4.571263243503264739e+00,8.454058016133849662e-01
1.139331818619186265e+01,4.571967905955837352e+00,8.453470347349070213e-01
1.139406979422104449e+01,4.572570606988139552e+00,8.452751962711807510e-01
