# q1,q2,q3
9.153168464148752070e-01,-1.500543925634320264e+00,1.454524276672495564e-01
9.148986473036372358e-01,-1.500576283146878964e+00,1.454197637748102234e-01
9.144800933141374877e-01,-1.500608200140908455e+00,1.453872356580330205e-01
9.140611891199258432e-01,-1.500639675719878108e+00,1.453548493825994881e-01
9.136419382719408455e-01,-1.500670709159241722e+00,1.453226100842120727e-01
9.132223434828030673e-01,-1.500701299858627769e+00,1.452905220742335690e-01
9.129083238858609617e-01,-1.500726721274752151e+00,1.452634227498857955e-01
9.126727853372114119e-01,-1.500747230639471130e+00,1.452407752090435766e-01
9.124961030149201235e-01,-1.500763819330954485e+00,1.452219391026193795e-01
9.123635597457413482e-01,-1.500777283813755414e+00,1.452063732156685105e-01
9.122657112856270567e-01,-1.500788114284782315e+00,1.451937115423655722e-01
9.121922896969087979e-01,-1.500796998319105180e+00,1.451834529198975932e-01
9.120327198541144931e-01,-1.500810634178439296e+00,1.451700308529681738e-01
9.119137589839118041e-01,-1.500822609871998559e+00,1.451589362497803792e-01
9.117199844137784392e-01,-1.500838669295135208e+00,1.451448156131663059e-01
9.114690944997901889e-01,-1.500856920522231741e+00,1.451283774962097151e-01
9.112816224638765616e-01,-1.500872555708387734e+00,1.451146936102776785e-01
9.110363553494252864e-01,-1.500891401838072348e+00,1.450983575029333728e-01
9.107467147192216395e-01,-1.500911712011472332e+00,1.450800185944718379e-01
9.104237372575694209e-01,-1.500933120104673613e+00,1.450599706417949886e-01
9.100756960269399398e-01,-1.500955327106968884e+00,1.450384622240714350e-01
9.097087909721314203e-01,-1.500978088253294596e+00,1.450157054976053406e-01
9.093276683062557764e-01,-1.501001204050315563e+00,1.449918826357499413e-01
9.089358097920117174e-01,-1.501024512582628478e+00,1.449671509298919025e-01
9.085358245039014680e-01,-1.501047882970689695e+00,1.449416468551786019e-01
9.081296674989922657e-01,-1.501071209849414778e+00,1.449154893326742577e-01
9.077188037053690595e-01,-1.501094408738168573e+00,1.448887823656262175e-01
9.073043307513268818e-01,-1.501117412180174915e+00,1.448616171863355562e-01
9.068870710209006036e-01,-1.501140166539720378e+00,1.448340740186749298e-01
9.064676406448636259e-01,-1.501162629357234435e+00,1.448062235372516160e-01
9.060465012052157929e-01,-1.501184767174293277e+00,1.447781280858107256e-01
9.056239984837869406e-01,-1.501206553752137074e+00,1.447498427033706014e-01
9.052003915007444945e-01,-1.501227968618025654e+00,1.447214159957626312e-01
9.047758742757036066e-01,-1.501248995883460058e+00,1.446928908819361537e-01
9.043505921347250176e-01,-1.501269623286925148e+00,1.446643052379945615e-01
9.039246539297280947e-01,-1.501289841421345139e+00,1.446356924570031954e-01
9.034981411945102181e-01,-1.501309643112963998e+00,1.446070819388076967e-01
9.030711150049834934e-01,-1.501329022923941547e+00,1.445784995211628621e-01
9.026436211189313719e-01,-1.501347976755698754e+00,1.445499678611951722e-01
9.022156938264590531e-01,-1.501366501534045828e+00,1.445215067744533011e-01
9.017873588342841806e-01,-1.501384594960482266e+00,1.444931335374246006e-01
9.013586354260518796e-01,-1.501402255316864887e+00,1.444648631583185516e-01
9.009295380801770614e-01,-1.501419481312966653e+00,1.444367086200751826e-01
9.005000776812366325e-01,-1.501436271968384695e+00,1.444086810988911840e-01
9.000702624268507313e-01,-1.501452626521847522e+00,1.443807901610302258e-01
8.996400985064431088e-01,-1.501468544362284607e+00,1.443530439402649357e-01
8.992095906091276403e-01,-1.501484024977098430e+00,1.443254492979619275e-01
8.987787423036162071e-01,-1.501499067913961705e+00,1.442980119675495443e-01
8.984562683706698305e-01,-1.501512013897899234e+00,1.442747943467689309e-01
8.982143947656338057e-01,-1.501522512544006593e+00,1.442553749134565244e-01
8.980329668565262269e-01,-1.501531062236594494e+00,1.442392112600170417e-01
8.977896672692873281e-01,-1.501541386639669184e+00,1.442213664543732787e-01
8.974989451998126588e-01,-1.501552040929835519e+00,1.442023778295706826e-01
8.972815815505097436e-01,-1.501561539326437877e+00,1.441864205554795608e-01
8.971185331882116643e-01,-1.501569312863934691e+00,1.441732524130840687e-01
8.969962178999928426e-01,-1.501575711630175114e+00,1.441624724156104209e-01
8.967970363815094270e-01,-1.501584108388528849e+00,1.441493202247088046e-01
