# tau1,tau2,tau3
1.151282711672446624e+01,4.647317221348158611e+00,8.464466949748160607e-01
1.151655805029954571e+01,4.647037747022475074e+00,8.461823157215944136e-01
1.151890670276971917e+01,4.646018108560842741e+00,8.456992111720066374e-01
1.152019095313679209e+01,4.644411168354050545e+00,8.450503626424701320e-01
1.152067073213471637e+01,4.642347057039993174e+00,8.442820720651917910e-01
1.152055944929474052e+01,4.639937043950082440e+00,8.434345910819847081e-01
1.152003279918572609e+01,4.637276530737316271e+00,8.425426610864396038e-01
1.151923558837725992e+01,4.634447385716376822e+00,8.416359885709691069e-01
1.151828706734210250e+01,4.631519783521062195e+00,8.407396731482074115e-01
1.151728513240261265e+01,4.628553674501779014e+00,8.398746005351618305e-01
1.151630967272521033e+01,4.625599977768181326e+00,8.390578090982574455e-01
1.151542526926057519e+01,4.622701568585101839e+00,8.383028358752838693e-01
1.151468340109200028e+01,4.619894113176004957e+00,8.376200460350647914e-01
1.151412427582733855e+01,4.617206790531128924e+00,8.370169483048655046e-01
1.151377837138605464e+01,4.614662930541399533e+00,8.364984978438551044e-01
1.151366775445372603e+01,4.612280589920787044e+00,8.360673872678905383e-01
1.151380722424157810e+01,4.610073081366058645e+00,8.357243259659966617e-01
1.151420531766665967e+01,4.608049466804332361e+00,8.354683074446226376e-01
1.223419466081297458e+01,4.878701162926210699e+00,8.966663186914849426e-01
1.204607814002044996e+01,4.805361150235444967e+00,8.798233076433695787e-01
1.190308511691180371e+01,4.747473986919166222e+00,8.660559912651201175e-01
1.179224192111915492e+01,4.701712733892664531e+00,8.548555168474529786e-01
1.170637773744557286e+01,4.665566479045954118e+00,8.457960686713534848e-01
1.163999712412807952e+01,4.637090541920835918e+00,8.385348568367465560e-01
1.158887209632530535e+01,4.614771845903152148e+00,8.327924078822473986e-01
1.154973956790867717e+01,4.597426781284973174e+00,8.283377256863823090e-01
1.152007151239384086e+01,4.584123367536914628e+00,8.249771410104469460e-01
1.149790040947042691e+01,4.574122008176908949e+00,8.225459815773051853e-01
1.148168673536113715e+01,4.566830467498094848e+00,8.209023878262043938e-01
1.147021842254727986e+01,4.561769719289283209e+00,8.199227512531287454e-01
1.146253462130495215e+01,4.558548098541064242e+00,8.194983707222740499e-01
1.145786792515641572e+01,4.556841784519855665e+00,8.195330143526310396e-01
1.145560061378531103e+01,4.556380101013179917e+00,8.199411463731800520e-01
1.145306783166974007e+01,4.555538140761287380e+00,8.200868281471722643e-01
1.145660571397593763e+01,4.557558897568309675e+00,8.218928896716223287e-01
1.146903321142464449e+01,4.567265941856732070e+00,8.253416443592689333e-01
1.147149471240225793e+01,4.568867665815279366e+00,8.266120268666979909e-01
1.147976654863955126e+01,4.575588009478972928e+00,8.289503577563511749e-01
1.148186616828113493e+01,4.577138051525271756e+00,8.298680266088518387e-01
1.148432794925323819e+01,4.579083874504380702e+00,8.307416702374411654e-01
1.148703040440617329e+01,4.581300071541304142e+00,8.315591230685012158e-01
1.149462239609014524e+01,4.587906174374174917e+00,8.333458789843303238e-01
1.149657504012245113e+01,4.589521653954840907e+00,8.338218735971880680e-01
1.149868136024086951e+01,4.591302391431907104e+00,8.342599948654406683e-01
1.150087142232869830e+01,4.593178716409826556e+00,8.346552504311468557e-01
1.150308973265175894e+01,4.595095575927302001e+00,8.350048845526842900e-01
1.150529292187547448e+01,4.597010086185652433e+00,8.353079037799999718e-01
1.150744774263956138e+01,4.598889444204228738e+00,8.355646804412458772e-01
1.150952934541660788e+01,4.600709151565490984e+00,8.357766229950643888e-01
1.151151980011574061e+01,4.602451508123869495e+00,8.359459036584193647e-01
1.151340683369871165e+01,4.604104338691168863e+00,8.360752349317800425e-01
1.151518275685729265e+01,4.605659920310370303e+00,8.361676877225874271e-01
1.151684355549276795e+01,4.607114081827932139e+00,8.362265447254220163e-01
1.151838812529361711e+01,4.608465451112244260e+00,8.362551835641325315e-01
1.151981763009931825e+01,4.609714828483847171e+00,8.362569849479232209e-01
1.151616857541123728e+01,4.606783810586674299e+00,8.352410317936532769e-01
1.151841815941909886e+01,4.608682342441626112e+00,8.354024278514583512e-01
1.152038916000989666e+01,4.610347951681401213e+00,8.355128617924458823e-01
1.152211445771554565e+01,4.611807251372717964e+00,8.355802103907412626e-01
1.152362322055480348e+01,4.613084069284553834e+00,8.356114151429004933e-01
1.152494133314596958e+01,4.614199725371522121e+00,8.356125781227656812e-01
1.152609176951295744e+01,4.615173280118002985e+00,8.355890484969087373e-01
1.152709491852090729e+01,4.616021757511153289e+00,8.355455007191949779e-01
1.152796886922552488e+01,4.616760345774052254e+00,8.354860052744816912e-01
1.152872966209712047e+01,4.617402578479495645e+00,8.354140927210419454e-01
1.152459188510664667e+01,4.613727766275395936e+00,8.342965136866486997e-01
1.152613761930317260e+01,4.615074338125297437e+00,8.344173091415569843e-01
1.152745192235093796e+01,4.616215684214161286e+00,8.344998484640773206e-01
1.152856686258471086e+01,4.617180778784313766e+00,8.345508874140070699e-01
1.152951039081162676e+01,4.617994776684160030e+00,8.345762175547012385e-01
1.153030683550267455e+01,4.618679493675691639e+00,8.345807895255895614e-01
1.153097734245025663e+01,4.619253828159353148e+00,8.345688215039372970e-01
1.153154026443012370e+01,4.619734131278633527e+00,8.345438945660664798e-01
1.153201150601011093e+01,4.620134531572136716e+00,8.345090364689360385e-01
1.153240482823880875e+01,4.620467219629002642e+00,8.344667952028780311e-01
1.153273211753881000e+01,4.620742697567765234e+00,8.344193035138929293e-01
1.153300362273332880e+01,4.620969997592572653e+00,8.343683354577308142e-01
1.153322816375714055e+01,4.621156873377393559e+00,8.343153559265041874e-01
1.153341331524910274e+01,4.621309967582721612e+00,8.342615639804890071e-01
1.153356556789443843e+01,4.621434958414172733e+00,8.342079307216343498e-01
1.153369047008243520e+01,4.621536687783024178e+00,8.341552323599716878e-01
1.153379275216919631e+01,4.621619273320474619e+00,8.341040790484572920e-01
1.153387643538405705e+01,4.621686206225360749e+00,8.340549399947110309e-01
1.153394492719166209e+01,4.621740436685351838e+00,8.340081652987465510e-01
1.153400110471790541e+01,4.621784448400669376e+00,8.339640049132441835e-01
1.153404738766470849e+01,4.621820323553569310e+00,8.339226250764282256e-01
1.153408580197552702e+01,4.621849799403535464e+00,8.338841225265299917e-01
1.153411803536710423e+01,4.621874317544476973e+00,8.338485367704626672e-01
1.081779113550427773e+01,4.345206627451760895e+00,7.720024714613574757e-01
1.100582923840816996e+01,4.417246838602658876e+00,7.880729760728013567e-01
1.113604396907767224e+01,4.470401652197405262e+00,8.010189738600690390e-01
1.125076929785089952e+01,4.516444491366663705e+00,8.126036959300010354e-01
1.134026110140557897e+01,4.552779383756849541e+00,8.220613973131922769e-01
1.141009278152742290e+01,4.581389902502987610e+00,8.297344956671285354e-01
1.146456301381394915e+01,4.603820192258518240e+00,8.359022136499956179e-01
1.150698656575026213e+01,4.621277608635669054e+00,8.407951975589669225e-01
1.153992878910254305e+01,4.634711947505388174e+00,8.446065020764067510e-01
1.156538351053495361e+01,4.644875641846275549e+00,8.474997513908452129e-01
1.158490794341237873e+01,4.652369479475267688e+00,8.496152016754299208e-01
1.159972499585529171e+01,4.657677312262524794e+00,8.510742488395857119e-01
1.161080085657083849e+01,4.661192401342086455e+00,8.519827892009519399e-01
1.161890384452617653e+01,4.663237412947147220e+00,8.524337377887661882e-01
1.162464906750290794e+01,4.664079598911601288e+00,8.525089311480512633e-01
1.162853233895567051e+01,4.663942329148336619e+00,8.522805827248038923e-01
1.163095596964562972e+01,4.663013863639553946e+00,8.518124146538328390e-01
1.163224841737898174e+01,4.661454038163411084e+00,8.511605566056275052e-01
1.163267929708082349e+01,4.659399375477400795e+00,8.503742776369168643e-01
1.163247088804368268e+01,4.656967009998700391e+00,8.494965986928071366e-01
1.163180699784399152e+01,4.654257719977493934e+00,8.485648199494096877e-01
1.163083983206874628e+01,4.651358289711730265e+00,8.476109873478437917e-01
