# ex,ey
6.104011028518208093e-06,-1.738406818392601583e-07
6.116112812093454920e-06,-1.818809695370432467e-07
6.128304603447709553e-06,-1.897726873926336433e-07
6.140583495350959709e-06,-1.975281632010661426e-07
6.152946855686458605e-06,-2.051588763318790143e-07
6.165392304469108353e-06,-2.126755177696282306e-07
6.177917690974865650e-06,-2.200880445894087822e-07
6.190521074311838845e-06,-2.274057321390715591e-07
6.203200705656719549e-06,-2.346372210224739741e-07
6.215955010269169634e-06,-2.417905617269761054e-07
6.228782574058122634e-06,-2.488732562411916094e-07
6.241682128371728311e-06,-2.558922960298193328e-07
6.254652538340010892e-06,-2.628541981315041243e-07
6.267692790107304290e-06,-2.697650381827676469e-07
6.280801981950467905e-06,-2.766304812492487164e-07
6.293979313065634074e-06,-2.834558109343632282e-07
6.307224075796646900e-06,-2.902459557974079729e-07
6.320535647308389571e-06,-2.970055142416383465e-07
6.333913482148290086e-06,-3.037387779347699990e-07
6.347357105696005419e-06,-3.104497531825067824e-07
6.360866108168217181e-06,-3.171421807043883767e-07
6.374440138956494195e-06,-3.238195546914623968e-07
6.388078901187199676e-06,-3.304851396972868782e-07
6.401782148057755251e-06,-3.371419873207659457e-07
6.415549677507570436e-06,-3.437929504412906567e-07
6.429381328776351268e-06,-3.504406977071494733e-07
6.443276979295475826e-06,-3.570877265234029263e-07
6.457236540913235956e-06,-3.637363746519794994e-07
6.471259957119279704e-06,-3.703888320407550117e-07
6.485347200269053758e-06,-3.770471507444361770e-07
6.499498269585401999e-06,-3.837132548506483332e-07
6.513713188271985643e-06,-3.903889496080503729e-07
6.527992002181015607e-06,-3.970759295587183990e-07
6.542334777037694948e-06,-4.037757866167529519e-07
6.556741597552040446e-06,-4.104900174183023775e-07
6.571212565753548063e-06,-4.172200295769756817e-07
6.585747799103813804e-06,-4.239671484405904689e-07
6.600347429497332996e-06,-4.307326228348423713e-07
6.615011602484344166e-06,-4.375176304322742071e-07
6.629740475050382997e-06,-4.443232829373644499e-07
6.644534216060371534e-06,-4.511506306280332890e-07
