# tau1,tau2,tau3
1.367936944455995629e+01,4.810100772697428972e+00,3.943764528335379493e-01
1.368400983955272920e+01,4.809065208016832571e+00,3.934639163994790301e-01
1.368863693706271256e+01,4.808025970769718604e+00,3.925557147534334823e-01
1.369325072745802885e+01,4.806983077741676880e+00,3.916518452254001970e-01
1.369785120125626143e+01,4.805936545491004352e+00,3.907523051754908661e-01
1.370243834912016290e+01,4.804886390351725822e+00,3.898570919936420465e-01
1.370701216185498872e+01,4.803832628436327745e+00,3.889662030999627707e-01
1.371157263040574925e+01,4.802775275637936936e+00,3.880796359445805033e-01
1.371611974585448479e+01,4.801714347633212476e+00,3.871973880076720609e-01
1.372065349941578738e+01,4.800649859885201209e+00,3.863194567997225159e-01
1.372517388243521808e+01,4.799581827645554633e+00,3.854458398612004011e-01
1.372968088638594253e+01,4.798510265956848819e+00,3.845765347628385955e-01
1.373417450286582309e+01,4.797435189655715249e+00,3.837115391055311298e-01
1.373865472359461037e+01,4.796356613374610056e+00,3.828508505203423451e-01
1.374312154041153100e+01,4.795274551544605579e+00,3.819944666685272106e-01
1.374757494527133339e+01,4.794189018397861268e+00,3.811423852415102287e-01
1.375201493024365007e+01,4.793100027969730448e+00,3.802946039609783613e-01
1.375644148750882145e+01,4.792007594100945234e+00,3.794511205784829033e-01
1.376085460935584237e+01,4.790911730440628347e+00,3.786119328761680669e-01
1.376525428817947905e+01,4.789812450447696435e+00,3.777770386657910984e-01
1.376964051647812504e+01,4.788709767393850569e+00,3.769464357895382922e-01
1.377401328685166959e+01,4.787603694365103912e+00,3.761201221194142574e-01
1.377837259199848319e+01,4.786494244264663855e+00,3.752980955576041833e-01
1.378271842471322195e+01,4.785381429814623999e+00,3.744803540360900906e-01
1.378705077788476174e+01,4.784265263558183712e+00,3.736668955168505613e-01
1.379136964449374680e+01,4.783145757861949399e+00,3.728577179916732209e-01
1.379567501761021298e+01,4.782022924917962214e+00,3.720528194822436685e-01
1.379996689039199609e+01,4.780896776745477972e+00,3.712521980398157395e-01
1.380424525608154873e+01,4.779767325193629901e+00,3.704558517454975552e-01
1.380851010800507694e+01,4.778634581942627690e+00,3.696637787098516759e-01
1.381276143956968383e+01,4.777498558506667159e+00,3.688759770731399601e-01
1.381699924426135517e+01,4.776359266235045808e+00,3.680924450048830288e-01
1.382122351564369289e+01,4.775216716314608867e+00,3.673131807041768448e-01
1.382543424735467319e+01,4.774070919771796540e+00,3.665381823993082988e-01
1.382963143310614917e+01,4.772921887474157465e+00,3.657674483477673100e-01
1.383381506668112593e+01,4.771769630132438600e+00,3.650009768362320606e-01
1.383798514193240337e+01,4.770614158302398877e+00,3.642387661803203058e-01
1.384214165278003073e+01,4.769455482386833367e+00,3.634808147247045040e-01
1.384628459321055693e+01,4.768293612637078738e+00,3.627271208427531035e-01
1.385041395727470181e+01,4.767128559155167089e+00,3.619776829366411763e-01
1.385452973908554597e+01,4.765960331895417568e+00,3.612324994371157727e-01
1.385863193281767458e+01,4.764788940666031536e+00,3.604915688035528198e-01
1.386272053270461235e+01,4.763614395131413382e+00,3.597548895235440081e-01
1.386679553303763157e+01,4.762436704813220345e+00,3.590224601130614368e-01
1.387085692816445892e+01,4.761255879092658461e+00,3.582942791163277185e-01
1.387490471248721668e+01,4.760071927211646070e+00,3.575703451053701132e-01
1.387893888046169977e+01,4.758884858275093777e+00,3.568506566804280911e-01
1.388295942659515525e+01,4.757694681251821933e+00,3.561352124692559462e-01
1.388696634544535868e+01,4.756501404976990699e+00,3.554240111274515335e-01
1.389095963161876135e+01,4.755305038153146313e+00,3.547170513380161760e-01
1.389493927976977261e+01,4.754105589352146666e+00,3.540143318114782889e-01
1.389890528459885388e+01,4.752903067016719163e+00,3.533158512854865929e-01
1.390285764085155584e+01,4.751697479461773455e+00,3.526216085248587984e-01
1.390679634331704051e+01,4.750488834876221311e+00,3.519316023213100997e-01
1.391072138682744708e+01,4.749277141324683704e+00,3.512458314935283377e-01
1.391463276625511725e+01,4.748062406748463360e+00,3.505642948866630193e-01
1.391853047651386888e+01,4.746844638967874452e+00,3.498869913726276315e-01
1.392241451255507378e+01,4.745623845682684028e+00,3.492139198494061958e-01
1.392628486936887633e+01,4.744400034474701044e+00,3.485450792414311327e-01
1.393014154198199250e+01,4.743173212808574846e+00,3.478804684991036456e-01
1.393398452545603483e+01,4.741943388033506679e+00,3.472200865986537766e-01
1.393781381488779836e+01,4.740710567384522456e+00,3.465639325421040473e-01
1.394162940540781825e+01,4.739474757984162068e+00,3.459120053570411413e-01
1.394543129217875510e+01,4.738235966843470592e+00,3.452643040963817578e-01
1.394921947039501653e+01,4.736994200863968274e+00,3.446208278382695833e-01
1.395299393528144094e+01,4.735749466838822030e+00,3.439815756859999629e-01
1.395675468209303460e+01,4.734501771453866859e+00,3.433465467675694827e-01
1.396050170611292884e+01,4.733251121289647756e+00,3.427157402357788873e-01
1.396423500265280282e+01,4.731997522822116942e+00,3.420891552679402037e-01
1.396795456705122795e+01,4.730740982424312513e+00,3.414667910656613015e-01
1.397166039467260745e+01,4.729481506368037991e+00,3.408486468546866877e-01
1.397535248090726512e+01,4.728219100824508025e+00,3.402347218848021937e-01
1.397903082117014151e+01,4.726953771865709975e+00,3.396250154294679358e-01
1.398269541089982582e+01,4.725685525466495562e+00,3.390195267857786798e-01
1.398634624555798567e+01,4.724414367505296752e+00,3.384182552742381334e-01
1.398998332062919481e+01,4.723140303764951753e+00,3.378212002385727608e-01
1.399360663161907858e+01,4.721863339935005399e+00,3.372283610453610803e-01
1.399721617405465324e+01,4.720583481612242949e+00,3.366397370842071912e-01
1.400081194348339686e+01,4.719300734302127154e+00,3.360553277671524119e-01
1.400439393547216582e+01,4.718015103420052370e+00,3.354751325287460006e-01
1.400796214560740793e+01,4.716726594292667940e+00,3.348991508256183303e-01
1.401151656949397761e+01,4.715435212158896050e+00,3.343273821366066212e-01
1.401505720275405942e+01,4.714140962171312843e+00,3.337598259620260799e-01
1.401858404102786970e+01,4.712843849397302165e+00,3.331964818240308324e-01
1.402209707997254107e+01,4.711543878820174669e+00,3.326373492661066078e-01
1.402559631526078654e+01,4.710241055340443239e+00,3.320824278527351181e-01
1.402908174258214657e+01,4.708935383776995387e+00,3.315317171694890375e-01
1.403255335764019840e+01,4.707626868868294956e+00,3.309852168226136704e-01
1.403601115615492567e+01,4.706315515273232108e+00,3.304429264388530907e-01
1.403945513385933808e+01,4.705001327572874814e+00,3.299048456651906824e-01
1.404288528650100076e+01,4.703684310271076363e+00,3.293709741688375381e-01
1.404630160984109644e+01,4.702364467795566050e+00,3.288413116365537237e-01
1.404970409965401679e+01,4.701041804499756616e+00,3.283158577750281415e-01
1.405309275172659156e+01,4.699716324662991163e+00,3.277946123100515252e-01
1.405646756185812229e+01,4.698388032492382571e+00,3.272775749868173101e-01
1.405982852586014609e+01,4.697056932123337525e+00,3.267647455692039293e-01
1.406317563955598615e+01,4.695723027621014900e+00,3.262561238399779850e-01
1.406650889878014610e+01,4.694386322981446646e+00,3.257517096002327528e-01
1.406982829937835078e+01,4.693046822132123985e+00,3.252515026693440503e-01
1.407313383720683397e+01,4.691704528934041107e+00,3.247555028846678127e-01
1.407642550813328874e+01,4.690359447181266184e+00,3.242637101012232903e-01
1.407970330803440717e+01,4.689011580603872353e+00,3.237761241916744526e-01
1.408296723279817364e+01,4.687660932867126817e+00,3.232927450457799834e-01
1.408621727832128734e+01,4.686307507574126952e+00,3.228135725704177617e-01
1.408945344051122639e+01,4.684951308265536518e+00,3.223386066892248158e-01
1.409267571528365792e+01,4.683592338421743051e+00,3.218678473423237651e-01
1.409588409856449331e+01,4.682230601462919140e+00,3.214012944860931142e-01
1.409907858628841559e+01,4.680866100750650460e+00,3.209389480929876748e-01
1.410225917439870358e+01,4.679498839588973169e+00,3.204808081511493767e-01
1.410542585884768130e+01,4.678128821224908584e+00,3.200268746643363804e-01
1.410857863559649061e+01,4.676756048849838976e+00,3.195771476514427389e-01
1.411171750061473595e+01,4.675380525600495218e+00,3.191316271464343934e-01
1.411484244987989811e+01,4.674002254559811220e+00,3.186903131980073356e-01
1.411795347937908396e+01,4.672621238757889373e+00,3.182532058692770227e-01
1.412105058510613276e+01,4.671237481173414530e+00,3.178203052376809001e-01
1.412413376306442636e+01,4.669850984733748156e+00,3.173916113945047801e-01
1.412720300926461547e+01,4.668461752316980018e+00,3.169671244447920255e-01
1.413025831972602653e+01,4.667069786752032989e+00,3.165468445069061221e-01
1.413329969047587120e+01,4.665675090820006865e+00,3.161307717125022010e-01
1.413632711754958393e+01,4.664277667255159798e+00,3.157189062059873041e-01
1.413934059699071000e+01,4.662877518745668581e+00,3.153112481444256265e-01
1.414234012485087533e+01,4.661474647934734428e+00,3.149077976972322057e-01
1.414532569718976518e+01,4.660069057421517336e+00,3.145085550458653900e-01
1.414829731007543501e+01,4.658660749762103315e+00,3.141135203835625500e-01
1.415125495958415058e+01,4.657249727470067491e+00,3.137226939150500882e-01
1.415419864180047860e+01,4.655835993018055063e+00,3.133360758563000781e-01
1.415712835281698823e+01,4.654419548838284015e+00,3.129536664342753016e-01
1.416004408873529918e+01,4.653000397323380000e+00,3.125754658864832725e-01
1.416294584566532144e+01,4.651578540827600250e+00,3.122014744609327708e-01
1.416583361972552169e+01,4.650153981667553005e+00,3.118316924156871450e-01
1.416870740704323239e+01,4.648726722123163846e+00,3.114661200185245282e-01
1.417156720375484547e+01,4.647296764438758387e+00,3.111047575469137461e-01
1.417441300600517806e+01,4.645864110823513471e+00,3.107476052874555417e-01
1.417724480994901270e+01,4.644428763452713049e+00,3.103946635356287787e-01
1.418006261175015936e+01,4.642990724468583963e+00,3.100459325956932966e-01
1.418286640758163486e+01,4.641549995981232080e+00,3.097014127801729910e-01
1.418565619362643027e+01,4.640106580069338627e+00,3.093611044096648000e-01
1.418843196607745760e+01,4.638660478781228669e+00,3.090250078125306721e-01
1.419119372113764044e+01,4.637211694135658036e+00,3.086931233246457684e-01
1.419394145502002225e+01,4.635760228122633109e+00,3.083654512889098531e-01
1.419667516394849649e+01,4.634306082704704899e+00,3.080419920552678326e-01
1.419939484415714759e+01,4.632849259816927301e+00,3.077227459800648268e-01
1.420210049189145884e+01,4.631389761368975400e+00,3.074077134260136401e-01
1.420479210340777421e+01,4.629927589244687169e+00,3.070968947616747324e-01
1.420746967497452040e+01,4.628462745304148029e+00,3.067902903614267429e-01
1.421013320287070059e+01,4.626995231383648211e+00,3.064879006047288024e-01
1.421278268338861039e+01,4.625525049296840052e+00,3.061897258763048857e-01
1.421541811283192480e+01,4.624052200835742532e+00,3.058957665655051561e-01
1.421803948751720625e+01,4.622576687771441151e+00,3.056060230660400112e-01
1.422064680377353518e+01,4.621098511854976998e+00,3.053204957757871263e-01
1.422324005794387958e+01,4.619617674818134567e+00,3.050391850963875551e-01
1.422581924638380180e+01,4.618134178374397436e+00,3.047620914329093877e-01
1.422838436546341612e+01,4.616648024219433211e+00,3.044892151936324232e-01
1.423093541156637443e+01,4.615159214032495960e+00,3.042205567895554519e-01
1.423347238109123758e+01,4.613667749477079028e+00,3.039561166343919818e-01
1.423599527045113255e+01,4.612173632201177931e+00,3.036958951437947474e-01
1.423850407607439195e+01,4.610676863838994777e+00,3.034398927354510778e-01
1.424099879440476535e+01,4.609177446011132773e+00,3.031881098285617027e-01
1.424347942190220806e+01,4.607675380325689574e+00,3.029405468435195647e-01
1.424594595504288819e+01,4.606170668379099276e+00,3.026972042016490838e-01
1.424839839031917421e+01,4.604663311756777233e+00,3.024580823247987604e-01
1.425083672424121417e+01,4.603153312033982481e+00,3.022231816351487188e-01
1.425326095333609366e+01,4.601640670776817821e+00,3.019925025546513209e-01
1.425567107414881640e+01,4.600125389542956356e+00,3.017660455050023005e-01
1.425806708324302186e+01,4.598607469882185939e+00,3.015438109070097683e-01
1.426044897720045590e+01,4.597086913337522063e+00,3.013257991805233793e-01
1.426281675262258730e+01,4.595563721445967253e+00,3.011120107438963744e-01
