# ex,ey
1.405638731410974174e-06,7.926371758115724475e-07
1.406151970750890712e-06,7.921337415173201890e-07
1.406664894565423651e-06,7.916298717519643091e-07
1.407177509071821930e-06,7.911255617831791653e-07
1.407689820598356789e-06,7.906208069896614177e-07
1.408201834696143351e-06,7.901156033052192385e-07
1.408713557138341343e-06,7.896099468718276171e-07
1.409224993031976680e-06,7.891038344004508431e-07
1.409736147595097577e-06,7.885972628240978111e-07
1.410247025157573830e-06,7.880902293116998081e-07
1.410757630493364445e-06,7.875827314762773312e-07
1.411267968154383823e-06,7.870747670002398166e-07
1.411778042026412550e-06,7.865663337464079419e-07
1.412287856106253514e-06,7.860574300633249578e-07
1.412797414612754210e-06,7.855480545215787203e-07
1.413306720765561408e-06,7.850382054697124801e-07
1.413815778339433393e-06,7.845278817975032126e-07
1.414324590665039239e-06,7.840170825612613470e-07
1.414833161295092623e-06,7.835058068728084635e-07
1.415341493338218015e-06,7.829940539688662327e-07
1.415849589792017582e-06,7.824818231971786275e-07
1.416357453654093490e-06,7.819691141552898017e-07
1.416865088144092510e-06,7.814559264546216966e-07
1.417372495815527600e-06,7.809422598037407681e-07
1.417879679666000925e-06,7.804281140916247139e-07
1.418386642360047745e-06,7.799134892905179584e-07
1.418893386562203318e-06,7.793983854142982892e-07
1.419399914714958300e-06,7.788828026294991602e-07
1.419906229593870250e-06,7.783667410193872982e-07
1.420412333530407523e-06,7.778502008615184593e-07
1.420918228967060770e-06,7.773331824473261875e-07
1.421423918568365252e-06,7.768156862208996927e-07
1.421929404332722413e-06,7.762977126402059724e-07
1.422434688924667512e-06,7.757792620799452976e-07
1.422939774564646598e-06,7.752603352478848464e-07
1.423444663584128023e-06,7.747409325881138287e-07
1.423949358203557836e-06,7.742210547112549079e-07
1.424453860532359784e-06,7.737007023944642015e-07
1.424958172902002218e-06,7.731798761234642825e-07
1.425462297532931188e-06,7.726585768697002976e-07
1.425966236645592744e-06,7.721368052021615469e-07
1.426469992127366027e-06,7.716145619535152989e-07
1.426973566420741690e-06,7.710918480119399732e-07
1.427476961524121180e-06,7.705686641545916871e-07
1.427980179546928241e-06,7.700450111725043456e-07
1.428483222598586622e-06,7.695208899399785807e-07
1.428986092899542371e-06,7.689963015533596291e-07
1.429488792337174630e-06,7.684712467065368813e-07
1.429991323020907146e-06,7.679457263293221203e-07
1.430493687171185968e-06,7.674197415180605830e-07
1.430995886786412541e-06,7.668932930915417501e-07
1.431497923864988309e-06,7.663663820350885558e-07
1.431999800405314716e-06,7.658390093340239346e-07
1.432501518738860113e-06,7.653111760708153355e-07
1.433003080641981342e-06,7.647828831891523294e-07
1.433504488335124449e-06,7.642541316049689115e-07
1.434005743816690881e-06,7.637249224562436822e-07
1.434506849085082081e-06,7.631952566866662124e-07
1.435007806249721796e-06,7.626651354064595267e-07
1.435508617309011470e-06,7.621345596287021351e-07
1.436009284372374850e-06,7.616035303109613963e-07
1.436509809327191078e-06,7.610720485218269715e-07
1.437010194393906204e-06,7.605401153853996732e-07
1.437510441570921671e-06,7.600077319008802235e-07
1.438010552967661226e-06,7.594748990813471323e-07
1.438510530471504012e-06,7.589416180786567878e-07
1.439010376302896077e-06,7.584078899197654877e-07
1.439510092460238866e-06,7.578737157287740445e-07
1.440009680941933823e-06,7.573390963522275143e-07
1.440509143857404695e-06,7.568040330530045878e-07
1.441008483427097531e-06,7.562685269135727140e-07
1.441507701427369170e-06,7.557325789053770393e-07
1.442006800078665663e-06,7.551961901941517397e-07
1.442505781490410754e-06,7.546593617513419616e-07
1.443004647772028193e-06,7.541220947149263054e-07
1.443503400810897119e-06,7.535843900563499176e-07
1.444002042827463583e-06,7.530462488858358228e-07
1.444500575931151332e-06,7.525076723829959846e-07
1.444999002231384111e-06,7.519686615053977619e-07
1.445497323837585668e-06,7.514292174048975426e-07
1.445995542748157447e-06,7.508893410113071099e-07
1.446493661183545498e-06,7.503490334487272762e-07
1.446991681142151265e-06,7.498082959106477929e-07
1.447489604844420796e-06,7.492671293546360189e-07
1.447987434288755537e-06,7.487255348631594032e-07
1.448485171695601537e-06,7.481835134354186678e-07
1.448982819396427146e-06,7.476410662232702009e-07
1.449480379056566903e-06,7.470981942675480880e-07
1.449977853340556067e-06,7.465548985674530513e-07
1.450475244135773778e-06,7.460111802470859033e-07
1.450972553440621482e-06,7.454670402640140026e-07
1.451469783697589833e-06,7.449224797562159495e-07
1.451966936794057972e-06,7.443774998339147686e-07
1.452464015283538856e-06,7.438321013714110919e-07
1.452961020942389325e-06,7.432862855899502463e-07
1.453457956213100033e-06,7.427400534054662273e-07
1.453954823094072424e-06,7.421934058865486961e-07
1.454451623805752547e-06,7.416463440462761625e-07
1.454948360790631057e-06,7.410988690503828025e-07
1.455445036047109397e-06,7.405509818980693382e-07
1.455941651795633618e-06,7.400026834081252503e-07
1.456438210256649768e-06,7.394539748711848048e-07
1.456934713539581594e-06,7.389048572170597851e-07
1.457431163975897448e-06,7.383553315004620643e-07
1.457927563897065681e-06,7.378053986095700623e-07
1.458423915412510041e-06,7.372550597656291060e-07
1.458920220742676577e-06,7.367043158013064641e-07
1.459416482219033639e-06,7.361531678407029489e-07
1.459912702062027279e-06,7.356016169801637972e-07
1.460408882492103544e-06,7.350496639968451262e-07
1.460905025618686182e-06,7.344973100842366875e-07
1.461401134106310451e-06,7.339445561721502642e-07
1.461897210064400099e-06,7.333914032736643662e-07
1.462393255491356570e-06,7.328378524296130792e-07
1.462889273051715122e-06,7.322839044726636715e-07
1.463385264743877201e-06,7.317295606379392581e-07
1.463881233121355763e-06,7.311748216748403806e-07
1.464377180293574554e-06,7.306196888046123661e-07
1.464873108814046532e-06,7.300641628599224831e-07
1.465369020681173140e-06,7.295082447567047268e-07
1.465864918337445033e-06,7.289519356606932732e-07
1.466360804114330563e-06,7.283952364323109663e-07
1.466856680454320383e-06,7.278381480291251648e-07
1.467352549577860543e-06,7.272806715336033179e-07
1.467848413816419395e-06,7.267228077922904816e-07
1.468344275501465290e-06,7.261645577905095905e-07
1.468840137075488883e-06,7.256059225829725179e-07
1.469336000980980828e-06,7.250469029607131688e-07
1.469831869327364871e-06,7.244875000617101435e-07
1.470327744668153969e-06,7.239277146769973470e-07
1.470823629334816474e-06,7.233675478612866527e-07
1.471319525769843040e-06,7.228070004750009048e-07
1.471815436193679716e-06,7.222460735450964009e-07
1.472311363270861762e-06,7.216847679319959852e-07
1.472807309110812923e-06,7.211230846904115310e-07
1.473303276267046158e-06,7.205610245974991557e-07
1.473799267071029817e-06,7.199985885691928544e-07
1.474295284298321462e-06,7.194357777851045910e-07
1.474791329836300235e-06,7.188725928697348166e-07
1.475287406460523698e-06,7.183090349610621317e-07
1.475783516502460202e-06,7.177451048501204411e-07
1.476279662515622704e-06,7.171808035499882550e-07
1.476775846831479555e-06,7.166161319210884173e-07
1.477272071892521410e-06,7.160510908099659844e-07
1.477768340141238923e-06,7.154856811047993759e-07
1.478264654131145051e-06,7.149199038325448896e-07
1.478761016304730447e-06,7.143537598258697940e-07
1.479257429215508068e-06,7.137872500839748113e-07
1.479753895194946267e-06,7.132203752174826050e-07
1.480250416796558000e-06,7.126531364060051388e-07
1.480746996684878525e-06,7.120855344128207420e-07
1.481243637080353892e-06,7.115175700705966833e-07
1.481740340647519361e-06,7.109492443507781090e-07
1.482237109828865584e-06,7.103805581137878633e-07
1.482733947288927823e-06,7.098115121784154269e-07
1.483230855581219032e-06,7.092421075299837341e-07
1.483727836926185262e-06,7.086723448207488119e-07
1.484224894210406376e-06,7.081022250637891702e-07
1.484722029654328423e-06,7.075317491056498653e-07
1.485219246033508966e-06,7.069609178345093170e-07
1.485716546012483263e-06,7.063897319720124912e-07
1.486213931922719667e-06,7.058181923924600198e-07
1.486711406206708830e-06,7.052463000117858982e-07
1.487208971751030617e-06,7.046740556487796070e-07
1.487706631109197986e-06,7.041014601083528390e-07
1.488204386612679286e-06,7.035285143064395896e-07
1.488702241259076686e-06,7.029552190201959760e-07
1.489200197268836234e-06,7.023815749990225399e-07
1.489698257528537795e-06,7.018075831866088521e-07
1.490196424480672022e-06,7.012332443878666055e-07
1.490694700789774174e-06,7.006585593660741296e-07
1.491193089009357209e-06,7.000835288983875415e-07
1.491691591803956385e-06,6.995081539007408367e-07
1.492190212060151566e-06,6.989324351225345566e-07
1.492688951998388802e-06,6.983563733409248186e-07
1.493187814505247957e-06,6.977799693608233156e-07
1.493686802245264289e-06,6.972032240704084671e-07
1.494185917882973058e-06,6.966261381913252393e-07
1.494685164082909523e-06,6.960487123480740834e-07
1.495184543287564338e-06,6.954709474982223583e-07
1.495684058494539670e-06,6.948928445021929079e-07
1.496183712257348475e-06,6.943144040399973349e-07
1.496683507351548315e-06,6.937356268332806053e-07
1.497183446219629843e-06,6.931565136591988363e-07
1.497683531970217530e-06,6.925770653504192964e-07
1.498183767045802028e-06,6.919972827118536784e-07
1.498684154110918598e-06,6.914171664373913728e-07
1.499184696052147103e-06,6.908367171931661943e-07
1.499685395534022803e-06,6.902559357840898357e-07
1.500186255332103258e-06,6.896748230011962022e-07
1.500687278221946030e-06,6.890933795800080475e-07
1.501188466757064077e-06,6.885116063254370644e-07
1.501689823935059565e-06,6.879295038481059166e-07
1.502191352309445449e-06,6.873470728835373578e-07
1.502693054766801595e-06,6.867643143060320199e-07
1.503194934193707866e-06,6.861812286984569909e-07
1.503696993143677219e-06,6.855978167685794489e-07
1.504199234503289517e-06,6.850140793768222380e-07
1.504701661159124626e-06,6.844300171338080219e-07
1.505204275775717804e-06,6.838456308166929176e-07
1.505707081128626612e-06,6.832609210083440132e-07
1.506210080215453218e-06,6.826758885136730015e-07
1.506713275700732879e-06,6.820905339571803339e-07
1.507216670471045461e-06,6.815048581021443397e-07
1.507720267412970827e-06,6.809188615591876825e-07
1.508224069302066539e-06,6.803325450777109040e-07
1.508728078913890158e-06,6.797459093377256067e-07
1.509232299135021549e-06,6.791589550053656055e-07
1.509736732852040575e-06,6.785716827190091394e-07
1.510241382951527100e-06,6.779840932558123257e-07
1.510746252320060989e-06,6.773961871708866767e-07
1.511251343844222106e-06,6.768079652136327340e-07
1.511756660188545709e-06,6.762194279252842222e-07
1.512262204572678570e-06,6.756305760691194706e-07
1.512767979661155948e-06,6.750414102696389307e-07
1.513273988562602312e-06,6.744519311790986293e-07
1.513780233941552922e-06,6.738621393664878667e-07
1.514286719017654548e-06,6.732720356367183356e-07
1.514793446344420147e-06,6.726816203783680947e-07
1.515300419141496491e-06,6.720908944934933515e-07
1.515807640184441141e-06,6.714998584123055281e-07
1.516315112581878566e-06,6.709085128286940147e-07
1.516822838998344025e-06,6.703168583949148385e-07
1.517330822764506593e-06,6.697248955966905726e-07
1.517839066544901527e-06,6.691326251695439709e-07
1.518347573337130996e-06,6.685400476963421212e-07
1.518856346360841769e-06,6.679471638015854751e-07
1.519365388391591409e-06,6.673539740265077569e-07
1.519874702538004385e-06,6.667604790233649936e-07
1.520384291575638258e-06,6.661666793333909098e-07
1.520894158724139800e-06,6.655725755672081689e-07
1.521404306981111176e-06,6.649781683493172224e-07
1.521914739233132252e-06,6.643834581376850679e-07
1.522425458588827496e-06,6.637884455151787932e-07
1.522936468045799074e-06,6.631931312034433645e-07
1.523447770601649154e-06,6.625975156882013550e-07
1.523959369476024506e-06,6.620015994274197624e-07
1.524471267555504994e-06,6.614053831704991282e-07
1.524983467948715088e-06,6.608088672921397233e-07
1.525495973653256954e-06,6.602120524029642112e-07
1.526008787777755060e-06,6.596149390997174677e-07
1.526521913541856179e-06,6.590175278958776417e-07
1.527035353832140174e-06,6.584198193326784576e-07
1.527549111868253817e-06,6.578218138819647010e-07
1.528063190647799274e-06,6.572235121266034596e-07
1.528577593390423317e-06,6.566249145523173070e-07
1.529092323093728112e-06,6.560260217280955430e-07
1.529607382977360430e-06,6.554268341812941046e-07
1.530122776038922439e-06,6.548273523143688379e-07
1.530638505498060908e-06,6.542275767656979824e-07
1.531154574574422611e-06,6.536275079377373842e-07
1.531670986154587411e-06,6.530271463578429803e-07
1.532187743569224381e-06,6.524264924701039803e-07
1.532704850037980293e-06,6.518255468018763210e-07
1.533222308669479617e-06,6.512243099221493026e-07
1.533740122572346820e-06,6.506227821084786811e-07
1.534258295077250978e-06,6.500209640825094226e-07
1.534776829292816558e-06,6.494188561911862223e-07
1.535295728327668030e-06,6.488164588924760778e-07
1.535814995401452165e-06,6.482137726859793503e-07
1.536334633844838038e-06,6.476107979741518861e-07
1.536854646766450117e-06,6.470075352982274097e-07
1.537375037496957475e-06,6.464039849773950408e-07
