# tau1,tau2,tau3
1.084280805971709860e+01,4.568977701955164505e+00,8.878922536136024668e-01
1.084497870516628737e+01,4.567703544079597222e+00,8.876974871312921511e-01
1.084713666575680158e+01,4.566422761828373034e+00,8.875010567492711555e-01
1.084928532100827958e+01,4.565136802141331884e+00,8.873033257855246214e-01
1.085142721497171792e+01,4.563846762398742207e+00,8.871045714289418349e-01
1.085356426294304022e+01,4.562553475467676201e+00,8.869050055245853992e-01
1.152497746708476356e+01,4.820448962020723371e+00,9.505663258800385318e-01
1.135794312606222967e+01,4.755539904334526113e+00,9.346861733069601330e-01
1.123497714174009232e+01,4.706645436272686389e+00,9.227285593717872159e-01
1.114260216586806962e+01,4.669831193336805519e+00,9.137217882348892539e-01
1.108345390042140366e+01,4.646178190760286597e+00,9.079380369162846076e-01
1.101849936675978725e+01,4.620226339406939609e+00,9.015756412208807413e-01
1.031578441832011706e+01,4.345376988658056661e+00,8.338928087187108540e-01
1.111908511751106765e+01,4.656512143312842689e+00,9.105499306929391024e-01
1.038895741191844735e+01,4.372391825666106513e+00,8.405938508619693605e-01
1.050426859918981926e+01,4.417405435070919317e+00,8.516979652536866841e-01
1.126551736131739112e+01,4.710110800058027181e+00,9.238714639388071470e-01
1.049970472129279564e+01,4.412105083127088712e+00,8.505254916893196793e-01
1.058843511842171736e+01,4.446660415491042961e+00,8.590768348759104667e-01
1.065921427101697816e+01,4.472391743892336180e+00,8.654873975548739162e-01
1.071287832505032611e+01,4.491420746235525563e+00,8.702604989390129164e-01
1.075369274184053836e+01,4.505411979877959716e+00,8.738026744562719106e-01
1.078486443528674066e+01,4.515615934733888004e+00,8.764193489767927447e-01
1.080879948769556087e+01,4.522972131445198052e+00,8.783399941194720562e-01
1.082730323477755974e+01,4.528186561740591642e+00,8.797370453734428830e-01
1.084173034875660946e+01,4.531789822190341432e+00,8.807401024202480277e-01
1.085309740914843069e+01,4.534180758808886935e+00,8.814465896630999664e-01
1.086216734018575991e+01,4.535659237163381263e+00,8.819297601398866648e-01
1.086951274851610094e+01,4.536450750257057685e+00,8.822447055054681853e-01
1.087556343592104291e+01,4.536724899453119519e+00,8.824328693462397677e-01
1.088064204279389280e+01,4.536609275776965156e+00,8.825254369799190313e-01
1.088499078897906713e+01,4.536199887844740708e+00,8.825458817766789199e-01
1.088879153682310807e+01,4.535568996728111202e+00,8.825118781718725991e-01
1.089218084504145700e+01,4.534771003509444398e+00,8.824367391175853559e-01
1.089526126487008995e+01,4.533846874279565675e+00,8.823304963834174286e-01
1.089810981714954075e+01,4.532827466506145875e+00,8.822007125976881747e-01
1.090078435439260041e+01,4.531736030021908945e+00,8.820530917669672233e-01
1.090332833594557016e+01,4.530590087821005696e+00,8.818919383850745142e-01
1.090577441240190737e+01,4.529402850763400323e+00,8.817205027628557401e-01
1.090814711645986357e+01,4.528184281934500177e+00,8.815412408418731305e-01
1.091046488318586682e+01,4.526941897612588583e+00,8.813560097221304623e-01
1.091274156696853659e+01,4.525681370175368201e+00,8.811662148534048500e-01
1.091498758068076391e+01,4.524406982040290792e+00,8.809729208746180928e-01
1.091721075123924045e+01,4.523121967538354049e+00,8.807769351077966435e-01
1.091941696224327352e+01,4.521828770460576408e+00,8.805788704764913044e-01
1.092161063674363675e+01,4.520529238134249006e+00,8.803791929383356640e-01
1.092379509995781461e+01,4.519224767714574043e+00,8.801782572589644804e-01
1.092597285182255362e+01,4.517916416491097209e+00,8.799763340059602035e-01
1.160673527310510345e+01,4.775151524231098676e+00,9.434919681381978007e-01
1.143711292790338696e+01,4.710062138052760972e+00,9.275630438909563402e-01
1.131217475676614015e+01,4.661071246699437509e+00,9.155780092783076807e-01
1.054503660239093499e+01,4.365442982776979619e+00,8.428011680768318081e-01
1.063928612508611593e+01,4.401678315719014911e+00,8.517603938505311501e-01
1.139360759223262498e+01,4.687088378921529852e+00,9.221640830224948626e-01
1.127808178265843253e+01,4.643199452075636557e+00,9.114175528898751377e-01
1.119383330101983454e+01,4.610135412087882578e+00,9.033269445871396908e-01
1.045652757389207821e+01,4.326521102348421799e+00,8.334877942740717138e-01
1.057398862617446156e+01,4.371768276569658163e+00,8.446525257645071116e-01
1.066618284804114936e+01,4.405461109362668992e+00,8.530088408508952336e-01
1.073588858945648816e+01,4.430436417263436510e+00,8.592352853561858739e-01
1.078872064878476422e+01,4.448866806749241398e+00,8.638625498624818988e-01
1.082889664626979176e+01,4.462382952173909345e+00,8.672889700855298534e-01
1.085957964998283742e+01,4.472208798346740011e+00,8.698135278949051807e-01
1.088314192509415790e+01,4.479263094486732655e+00,8.716606549952237160e-01
1.090136271183166627e+01,4.484235564377176075e+00,8.729988403005365383e-01
1.091557652639715847e+01,4.487644052161891217e+00,8.739545896275456860e-01
1.092678436449759083e+01,4.489877398126063568e+00,8.746228992088809218e-01
1.093573708936082944e+01,4.491227610098269984e+00,8.750751141453484427e-01
1.094299796346012066e+01,4.491914004725610532e+00,8.753648251498821198e-01
1.094898954175351768e+01,4.492101324417468788e+00,8.755322936239382514e-01
1.095402883861348720e+01,4.491913334454247675e+00,8.756077726302332609e-01
1.095835370172807544e+01,4.491443028800376602e+00,8.756139994710555596e-01
1.096214259233029331e+01,4.490760291196493448e+00,8.755680666909665399e-01
1.096552942084899840e+01,4.489917646625172232e+00,8.754828266534370185e-01
1.096861467450999506e+01,4.488954579622617125e+00,8.753679460866707895e-01
1.097147376408758923e+01,4.487900776927922664e+00,8.752306979252142405e-01
1.097416328507890348e+01,4.486778562710425966e+00,8.750765559692083029e-01
1.097672571467304969e+01,4.485604727661961277e+00,8.749096415263185600e-01
1.097919293549865927e+01,4.484391903012055813e+00,8.747330589308883741e-01
1.098158887935966099e+01,4.483149592838127084e+00,8.745491476288370647e-01
1.098393151085817721e+01,4.481884949767617421e+00,8.743596716100178190e-01
1.098623431582648458e+01,4.480603357951598475e+00,8.741659617871799792e-01
1.098850741826469601e+01,4.479308871267207337e+00,8.739690230317525010e-01
1.099075841856429747e+01,4.478004542757237694e+00,8.737696146583096013e-01
1.099299302261310274e+01,4.476692672346329616e+00,8.735683109592241591e-01
1.099521551398711239e+01,4.475374993140942337e+00,8.733655467469959577e-01
1.099742910839422194e+01,4.474052811566638255e+00,8.731616516277163065e-01
1.099963621975225614e+01,4.472727112801186955e+00,8.729568758025245678e-01
1.100183865994676680e+01,4.471398640113452672e+00,8.727514094984666349e-01
1.100403778880955663e+01,4.470067954577621627e+00,8.725453976076265050e-01
1.100623462673103603e+01,4.468735480025785911e+00,8.723389507212623295e-01
1.100842993922120883e+01,4.467401536894295866e+00,8.721321534509278717e-01
1.169949051371056292e+01,4.723877001016154153e+00,9.354746008238833399e-01
1.152699248124257103e+01,4.658585585263192996e+00,9.194923429178480934e-01
1.139986196861408807e+01,4.609486280690939353e+00,9.074775155541942029e-01
1.130449757237575170e+01,4.572642727876202073e+00,8.984582594553047752e-01
1.124341923956209754e+01,4.548959402906069371e+00,8.926638379928503175e-01
1.049273129501093038e+01,4.265128429919408326e+00,8.227480939247159286e-01
1.062097607899530693e+01,4.314012986609640166e+00,8.348044827634703013e-01
1.141107709009186699e+01,4.608080673679528338e+00,9.073401871341743030e-01
1.062720245405220432e+01,4.312913799015947625e+00,8.346565785334110199e-01
1.072298759463074447e+01,4.349229808812863141e+00,8.436444972214829363e-01
1.079881083411019382e+01,4.376115293477075063e+00,8.503419441009963942e-01
1.085620417083289446e+01,4.395936997225803999e+00,8.553129111316558619e-01
1.089977598151009985e+01,4.410462734970696630e+00,8.589893020948140556e-01
1.093298738462946140e+01,4.421017842252737751e+00,8.616949509014319997e-01
1.095843281813072778e+01,4.428595917375090174e+00,8.636726467144701935e-01
1.097805706179428853e+01,4.433941869637223476e+00,8.651044217591817853e-01
1.099331792191601487e+01,4.437614173277411034e+00,8.661267596767843191e-01
1.100530817476517242e+01,4.440031534844075978e+00,8.668419963215977520e-01
1.101484697228930898e+01,4.441507877156192663e+00,8.673268663975732817e-01
1.102254835796406240e+01,4.442278565367838716e+00,8.676389105697902560e-01
1.102887262522224177e+01,4.442520067959680574e+00,8.678212787295630504e-01
1.103416481520540238e+01,4.442364696336593255e+00,8.679063309552416117e-01
1.105958553833829683e+01,4.455523871146659154e+00,8.736531304857224622e-01
1.108171774786178787e+01,4.467007850164925742e+00,8.787131806752448426e-01
1.109982435145848711e+01,4.476201851854717972e+00,8.827892068138216697e-01
1.111451124474621288e+01,4.483380361195363761e+00,8.859751180911918933e-01
1.112627716944659717e+01,4.488780372283704523e+00,8.883621234395496780e-01
1.113553946971892827e+01,4.492610629418467560e+00,8.900387216033780469e-01
1.114265316831610697e+01,4.495058243023455802e+00,8.910904488298126980e-01
1.114792499647375301e+01,4.496293345049450885e+00,8.915994976653422999e-01
1.115162363865148087e+01,4.496472297749212643e+00,8.916442877411554502e-01
1.115398716004068547e+01,4.495739850100070711e+00,8.912990438984429442e-01
1.115522835649182554e+01,4.494230541923897704e+00,8.906334174926804348e-01
1.115553858906682372e+01,4.492069582047419019e+00,8.897121721857950138e-01
1.115509052782156907e+01,4.489373369642904343e+00,8.885949450427573781e-01
1.115404012310199633e+01,4.486249783869920904e+00,8.873360864495820621e-01
1.115252804085832317e+01,4.482798333355459519e+00,8.859845775239887367e-01
1.115068073592745712e+01,4.479110231640258455e+00,8.845840206684001394e-01
1.114861128968076365e+01,4.475268445634609904e+00,8.831726971969207085e-01
1.114642010254122795e+01,4.471347749875111077e+00,8.817836851366036566e-01
1.114419550497971478e+01,4.467414808766512202e+00,8.804450300378657834e-01
1.114201433061023216e+01,4.463528301099660922e+00,8.791799616928490657e-01
1.113994248026011213e+01,4.459739095243156370e+00,8.780071498900002824e-01
1.113803549510630830e+01,4.456090478975447411e+00,8.769409926226968688e-01
1.183144630298267863e+01,4.709832768188677576e+00,9.399060497471624087e-01
1.095764197157941311e+01,4.381246334862752612e+00,8.576215100800435032e-01
1.168769652210519716e+01,4.649934797594522884e+00,9.240714484301523202e-01
1.084572267170405269e+01,4.333097643396770948e+00,8.445709093999882455e-01
1.090553715582703376e+01,4.353974738835730385e+00,8.494713700586529193e-01
1.164970722210244247e+01,4.627392110346810306e+00,9.176467782156434438e-01
1.150577898668445087e+01,4.572365212952727909e+00,9.036822155755563912e-01
1.070810030791454714e+01,4.271107802505905937e+00,8.281977543791191332e-01
1.079928977379334398e+01,4.304727647196087581e+00,8.366349706361789762e-01
1.156783292435828692e+01,4.588705534475124637e+00,9.079257561991940229e-01
1.144381609305671255e+01,4.542309080589762793e+00,8.965308022884640460e-01
1.066239676377729495e+01,4.248092160332066491e+00,8.231868073088030036e-01
1.076611016424966394e+01,4.287676628177324645e+00,8.335258068690457600e-01
1.085066949360359523e+01,4.319282952574526213e+00,8.422894022427519500e-01
1.092738451956326351e+01,4.344248700272820507e+00,8.496868731852573742e-01
1.096742208536983654e+01,4.365119774568406719e+00,8.560587427214623180e-01
1.101054713620108316e+01,4.382116327667881173e+00,8.615653209566525028e-01
1.104526122413448341e+01,4.396055085544745999e+00,8.662752840271938926e-01
1.107338810094534587e+01,4.407535865217084847e+00,8.702917831612883015e-01
1.109634039689231422e+01,4.417017103469690120e+00,8.736980927651191164e-01
1.111519630200411868e+01,4.424851071169217498e+00,8.765630318806469923e-01
1.113078177657369849e+01,4.431310827265011021e+00,8.789450817186388321e-01
1.114373281934962989e+01,4.436610521366097792e+00,8.808953244338182387e-01
1.115454250576595818e+01,4.440920616050650693e+00,8.824594995697673250e-01
1.116359644147091501e+01,4.444379236352824947e+00,8.836794065148985133e-01
1.117119941229933389e+01,4.447100574120135263e+00,8.845938281272577308e-01
1.117759535320911723e+01,4.449181060146383260e+00,8.852391094113727377e-01
1.118298225629510512e+01,4.450703851774879816e+00,8.856494930448873815e-01
